1 Mot inconnu : Midiman => **Midiman midisport USB** | midiman
1 Mot inconnu : midisport => **Midiman midisport USB** | midisport

3 Mot inconnu : Midiman => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | midiman
3 Mot inconnu : Midisport => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | midisport
3 Signe de multiplication typographique. => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | 1x1 => suggestions : ['1\xa0×\xa01']
3 Mot inconnu : x1 => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | x1
3 Signe de multiplication typographique. => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | 2x2 => suggestions : ['2\xa0×\xa02']
3 Mot inconnu : x2 => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | x2
3 Signe de multiplication typographique. => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | 4x4 => suggestions : ['4\xa0×\xa04']
3 Mot inconnu : x4 => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | x4
3 Signe de multiplication typographique. => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | 8x8 => suggestions : ['8\xa0×\xa08']
3 Mot inconnu : x8 => <note>Valable pour les Midiman Midisport USB 1x1, 2x2, 4x4, 8x8 </note> | x8

37 Mot inconnu : Midiman => Brancher le Midiman Midisport USB: | midiman
37 Mot inconnu : Midisport => Brancher le Midiman Midisport USB: | midisport

41 Mot inconnu : topic => <note help> **Support topic:** http://forum.ubuntu-fr.org/viewtopic.php?pid=3046420#p3046420</note> | topic
45 Mot inconnu : Nab => //Contributeurs principaux : [[Nab!!DaN]]// | nab
45 Il manque un espace. => //Contributeurs principaux : [[Nab!!DaN]]// | dan => suggestions : [' DaN']

47 Mot inconnu : yaaarrrgg => Merci a yaaarrrgg de ubuntuforums.org :) | yaaarrrgg
47 Mot inconnu : ubuntuforums => Merci a yaaarrrgg de ubuntuforums.org :) | ubuntuforums
