
5 Mot inconnu : ENT => ====== ENT - Triade (gestion scolaire) ====== | ent
48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion de l'Intra-MSN (IntraMessenger) |    => suggestions : ['']
48 Mot inconnu : Intra-MSN =>   * Gestion de l'Intra-MSN (IntraMessenger) | intra-msn
48 Mot inconnu : IntraMessenger =>   * Gestion de l'Intra-MSN (IntraMessenger) | intramessenger

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * WebRadio Universitaire |    => suggestions : ['']
49 Mot inconnu : WebRadio =>   * WebRadio Universitaire | webradio

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion de e-learning Dokeos ou Moodle |    => suggestions : ['']
50 Élision de l’article devant un mot commençant par une voyelle. =>   * Gestion de e-learning Dokeos ou Moodle | de  => suggestions : ['d’']
50 Mot inconnu : Dokeos =>   * Gestion de e-learning Dokeos ou Moodle | dokeos
50 Mot inconnu : Moodle =>   * Gestion de e-learning Dokeos ou Moodle | moodle

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... |    => suggestions : ['']
51 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... | ... => suggestions : ['…']

54 Espace(s) en fin de ligne à supprimer. => ==== Caractéristiques de la rubrique Direction scolaire====  |   => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des enseignants, vie scolaire, parents d'élèves |    => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des enseignants suppléants  |    => suggestions : ['']
56 Espace(s) en fin de ligne à supprimer. =>   * Gestion des enseignants suppléants  |   => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Consultation et mise à jour des fiches élèves |    => suggestions : ['']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Trombinoscope des élèves, enseignants, vie scolaire  |    => suggestions : ['']
58 Espace(s) en fin de ligne à supprimer. =>   * Trombinoscope des élèves, enseignants, vie scolaire  |   => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des niveaux de classe et des groupes d'élèves |    => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des matières et sous-matières  |    => suggestions : ['']
60 Espace(s) en fin de ligne à supprimer. =>   * Gestion des matières et sous-matières  |   => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Prise en compte des matières facultatives |    => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choix possible du barème  |    => suggestions : ['']
62 Espace(s) en fin de ligne à supprimer. =>   * Choix possible du barème  |   => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nombre illimité de périodes |    => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bibliothèque de bulletins disponibles |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bulletin entièrement personnalisé |    => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Consultation des conseils de classe via vidéo projecteur |    => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Relevé de notes de mi-trimestre |    => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Comparatif des moyennes par élève sur une année |    => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Affichage des absences et des retards sur le bulletin |    => suggestions : ['']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Envoi des bulletins aux parents  |    => suggestions : ['']
70 Espace(s) en fin de ligne à supprimer. =>   * Envoi des bulletins aux parents  |   => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Envoi d'informations via SMS |    => suggestions : ['']

