
6 Mot inconnu : Eee => ====== Asus Eee PC 1201 ====== | eee
48 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 6 ~ 7 heures. | 47 wh => suggestions : ['47\xa0Wh']
48 Avec une unité de mesure, mettez un espace insécable. =>   * **Batterie :** 6 cellules 4400 mAh - 47 Wh, 6 ~ 7 heures. | 7 heures => suggestions : ['7\xa0heures']

50 Avec une unité de mesure, mettez un espace insécable. => ==== Modèle 1201 K ====   | 1201 k => suggestions : ['1\xa0201\xa0K']
50 Espace(s) en fin de ligne à supprimer. => ==== Modèle 1201 K ====   |    => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Processeur** : AMD® Athlon SiS741GX de ??? Ghz ; |    => suggestions : ['']
52 Mot inconnu : Athlon =>   * **Processeur** : AMD® Athlon SiS741GX de ??? Ghz ; | athlon
52 Mot inconnu : SiS741GX =>   * **Processeur** : AMD® Athlon SiS741GX de ??? Ghz ; | sis741gx
52 Mot inconnu : Ghz =>   * **Processeur** : AMD® Athlon SiS741GX de ??? Ghz ; | ghz

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; |    => suggestions : ['']
53 Mot inconnu : SiS966L =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | sis966l
53 Il manque un espace avant la parenthèse. =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | ( => suggestions : [' (']
53 Mot inconnu : VGA =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | vga
53 Mot inconnu : controller =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | controller
53 Mot inconnu : Silicon =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | silicon
53 Mot inconnu : Integrated =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | integrated
53 Mot inconnu : Systems =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | systems
53 Mot inconnu : SiS =>   * **Carte graphique** : AMD® SiS966L((VGA compatible controller: Silicon Integrated Systems [SiS] 661/741/760 PCI/AGP or 662/761Gx PCIE VGA Display Adapter)) ; | sis
