
6 Mot inconnu : Eee => ====== Asus Eee PC 1201 ====== | eee
103 Mot inconnu : ethernet => Lors d'une forte utilisation du réseau ethernet le module atl1c gérant la carte réseau filaire fait planter la machine, pour remédier à ce problème : | ethernet
103 Mot inconnu : atl1c => Lors d'une forte utilisation du réseau ethernet le module atl1c gérant la carte réseau filaire fait planter la machine, pour remédier à ce problème : | atl1c

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Recherchez la ligne  <file>GRUB_CMDLINE_LINUX=""</file> et la remplacer par (ou ajoutez à la suite) <file>GRUB_CMDLINE_LINUX="pci=nomsi"</file> |    => suggestions : ['']
105 Espace(s) surnuméraire(s) à supprimer. =>   * Recherchez la ligne  <file>GRUB_CMDLINE_LINUX=""</file> et la remplacer par (ou ajoutez à la suite) <file>GRUB_CMDLINE_LINUX="pci=nomsi"</file> |    => suggestions : [' ']
105 Mot inconnu : GRUB_CMDLINE_LINUX =>   * Recherchez la ligne  <file>GRUB_CMDLINE_LINUX=""</file> et la remplacer par (ou ajoutez à la suite) <file>GRUB_CMDLINE_LINUX="pci=nomsi"</file> | grub_cmdline_linux
105 Mot inconnu : GRUB_CMDLINE_LINUX =>   * Recherchez la ligne  <file>GRUB_CMDLINE_LINUX=""</file> et la remplacer par (ou ajoutez à la suite) <file>GRUB_CMDLINE_LINUX="pci=nomsi"</file> | grub_cmdline_linux
105 Guillemets typographiques ouvrants. =>   * Recherchez la ligne  <file>GRUB_CMDLINE_LINUX=""</file> et la remplacer par (ou ajoutez à la suite) <file>GRUB_CMDLINE_LINUX="pci=nomsi"</file> | " => suggestions : ['«\xa0', '“']
105 Mot inconnu : pci =>   * Recherchez la ligne  <file>GRUB_CMDLINE_LINUX=""</file> et la remplacer par (ou ajoutez à la suite) <file>GRUB_CMDLINE_LINUX="pci=nomsi"</file> | pci
105 Mot inconnu : nomsi =>   * Recherchez la ligne  <file>GRUB_CMDLINE_LINUX=""</file> et la remplacer par (ou ajoutez à la suite) <file>GRUB_CMDLINE_LINUX="pci=nomsi"</file> | nomsi
105 Guillemets typographiques fermants. =>   * Recherchez la ligne  <file>GRUB_CMDLINE_LINUX=""</file> et la remplacer par (ou ajoutez à la suite) <file>GRUB_CMDLINE_LINUX="pci=nomsi"</file> | " => suggestions : ['\xa0»', '”']

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enregistrez le fichier et mettez à jour [[Grub-pc]]. |    => suggestions : ['']
106 Mot inconnu : Grub-pc =>   * Enregistrez le fichier et mettez à jour [[Grub-pc]]. | grub-pc

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrez |    => suggestions : ['']

119 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => Vous pouvez également consulter un [[http://users.skynet.be/linux-rixensart/1_suite.html#fn|blog Belge sur le Eee PC 1201]] | belge => suggestions : ['belge']
119 Mot inconnu : Eee => Vous pouvez également consulter un [[http://users.skynet.be/linux-rixensart/1_suite.html#fn|blog Belge sur le Eee PC 1201]] | eee

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.ubuntu.com/HardwareSupportComponentsVideoCardsPoulsbo|Page officielle d'Ubuntu sur le support du driver Poulsbo]] **(en)**; |    => suggestions : ['']
126 Mot inconnu : Poulsbo =>   * [[https://wiki.ubuntu.com/HardwareSupportComponentsVideoCardsPoulsbo|Page officielle d'Ubuntu sur le support du driver Poulsbo]] **(en)**; | poulsbo

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://users.skynet.be/linux-rixensart/1_suite.html#fn|Blog sur le Eee PC 1201]]. |    => suggestions : ['']
127 Mot inconnu : Eee =>   * [[http://users.skynet.be/linux-rixensart/1_suite.html#fn|Blog sur le Eee PC 1201]]. | eee

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.asus.com/product.aspx?P_ID=Kp9FSSex21aq8WPA|Eee PC 1201 HA]] **(en)** ; |    => suggestions : ['']
131 Mot inconnu : Eee =>   * [[http://www.asus.com/product.aspx?P_ID=Kp9FSSex21aq8WPA|Eee PC 1201 HA]] **(en)** ; | eee
131 Si “HA” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * [[http://www.asus.com/product.aspx?P_ID=Kp9FSSex21aq8WPA|Eee PC 1201 HA]] **(en)** ; | 1201 ha => suggestions : ['1\xa0201\xa0HA']

132 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.asus.com/product.aspx?P_ID=DXretj33CC7MoAHh|Eee PC 1201 K]] **(en)** ; |    => suggestions : ['']
132 Mot inconnu : Eee =>   * [[http://www.asus.com/product.aspx?P_ID=DXretj33CC7MoAHh|Eee PC 1201 K]] **(en)** ; | eee
132 Avec une unité de mesure, mettez un espace insécable. =>   * [[http://www.asus.com/product.aspx?P_ID=DXretj33CC7MoAHh|Eee PC 1201 K]] **(en)** ; | 1201 k => suggestions : ['1\xa0201\xa0K']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.asus.com/product.aspx?P_ID=sZ0sI6WqjnCHGFta|Eee PC 1201 N]] **(en)** ; |    => suggestions : ['']
133 Mot inconnu : Eee =>   * [[http://www.asus.com/product.aspx?P_ID=sZ0sI6WqjnCHGFta|Eee PC 1201 N]] **(en)** ; | eee
133 Si “N” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * [[http://www.asus.com/product.aspx?P_ID=sZ0sI6WqjnCHGFta|Eee PC 1201 N]] **(en)** ; | 1201 n => suggestions : ['1\xa0201\xa0N']

134 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.asus.com/product.aspx?P_ID=f0B4UnOsMz3CwWXb|Eee PC 1201 NL]] **(en)** ; |    => suggestions : ['']
134 Mot inconnu : Eee =>   * [[http://www.asus.com/product.aspx?P_ID=f0B4UnOsMz3CwWXb|Eee PC 1201 NL]] **(en)** ; | eee
134 Si “NL” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * [[http://www.asus.com/product.aspx?P_ID=f0B4UnOsMz3CwWXb|Eee PC 1201 NL]] **(en)** ; | 1201 nl => suggestions : ['1\xa0201\xa0NL']

135 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.asus.com/product.aspx?P_ID=N0JLbhfgdnpw5FaY|Eee PC 1201 PN]] **(en)** ; |    => suggestions : ['']
135 Mot inconnu : Eee =>   * [[http://www.asus.com/product.aspx?P_ID=N0JLbhfgdnpw5FaY|Eee PC 1201 PN]] **(en)** ; | eee
135 Si “PN” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * [[http://www.asus.com/product.aspx?P_ID=N0JLbhfgdnpw5FaY|Eee PC 1201 PN]] **(en)** ; | 1201 pn => suggestions : ['1\xa0201\xa0PN']

136 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.asus.com/product.aspx?P_ID=ls15lhnDPup9y6Uh|Eee PC 1201 T]] **(en)**. |    => suggestions : ['']
136 Mot inconnu : Eee =>   * [[http://www.asus.com/product.aspx?P_ID=ls15lhnDPup9y6Uh|Eee PC 1201 T]] **(en)**. | eee
136 Si “T” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   * [[http://www.asus.com/product.aspx?P_ID=ls15lhnDPup9y6Uh|Eee PC 1201 T]] **(en)**. | 1201 t => suggestions : ['1\xa0201\xa0T']
