
30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Password** : pass choisi dans l'espace client |    => suggestions : ['']
30 Mot inconnu : Password =>   * **Password** : pass choisi dans l'espace client | password
30 Mot inconnu : pass =>   * **Password** : pass choisi dans l'espace client | pass

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Cocher** : Request an inner IP address |    => suggestions : ['']
31 Mot inconnu : Request =>   * **Cocher** : Request an inner IP address | request
31 Mot inconnu : inner =>   * **Cocher** : Request an inner IP address | inner
31 Mot inconnu : address =>   * **Cocher** : Request an inner IP address | address

35 Il manque un espace après la parenthèse. => ==== client VPN pour (x)ubuntu 22.04 LTS ==== | ) => suggestions : [') ']
35 Mot inconnu : LTS => ==== client VPN pour (x)ubuntu 22.04 LTS ==== | lts

42 Il manque un espace après la parenthèse. => ==== client VPN pour (x)ubuntu 20.04.4 LTS ==== | ) => suggestions : [') ']
42 Mot inconnu : LTS => ==== client VPN pour (x)ubuntu 20.04.4 LTS ==== | lts

49 Mot inconnu : NAS => ===== NAS Freebox Pro ===== | nas
49 Mot inconnu : Freebox => ===== NAS Freebox Pro ===== | freebox

51 Mot inconnu : NAS => <note tip>Le serveur NAS est limité à un accès local et uniquement avec le protocole SMB, la communication avec ce serveur dans un espace Linux nécessite utilisation de samba</note> | nas
51 Mot inconnu : SMB => <note tip>Le serveur NAS est limité à un accès local et uniquement avec le protocole SMB, la communication avec ce serveur dans un espace Linux nécessite utilisation de samba</note> | smb

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * IP du NAS : 192.168.10.246 |    => suggestions : ['']
55 Mot inconnu : NAS =>   * IP du NAS : 192.168.10.246 | nas

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * \\FBPxNAS.lan |    => suggestions : ['']
56 Mot inconnu : FBPxNAS =>   * \\FBPxNAS.lan | fbpxnas
56 Mot inconnu : lan =>   * \\FBPxNAS.lan | lan

58 Mot inconnu : ssh => ==== Accès par ssh (script,crontab,etc...) ==== | ssh
58 Il manque un espace. => ==== Accès par ssh (script,crontab,etc...) ==== | crontab => suggestions : [' crontab']
58 Mot inconnu : crontab => ==== Accès par ssh (script,crontab,etc...) ==== | crontab

59 Mot inconnu : smbclient => L'accès est fonctionnel via smbclient | smbclient

61 Accord de nombre erroné : « fichier » devrait être au pluriel. => exemple pour copier les fichier d'un repertoire sur le NAS Freebox Pro | fichier => suggestions : ['fichiers']
61 Mot inconnu : repertoire => exemple pour copier les fichier d'un repertoire sur le NAS Freebox Pro | repertoire
61 Mot inconnu : NAS => exemple pour copier les fichier d'un repertoire sur le NAS Freebox Pro | nas
61 Mot inconnu : Freebox => exemple pour copier les fichier d'un repertoire sur le NAS Freebox Pro | freebox

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://pro.free.fr/|Site officiel du FAI]] |    => suggestions : ['']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://lafibre.info/free-pro/|Forum d'utilisation freepro]] |    => suggestions : ['']
71 Mot inconnu : freepro =>   * **(fr)** [[https://lafibre.info/free-pro/|Forum d'utilisation freepro]] | freepro

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr)** [[https://github.com/LaFibre-info/Freepro/issues|github d'utilisateurs freepro]] |    => suggestions : ['']
72 Mot inconnu : github =>   * **(fr)** [[https://github.com/LaFibre-info/Freepro/issues|github d'utilisateurs freepro]] | github
72 Mot inconnu : freepro =>   * **(fr)** [[https://github.com/LaFibre-info/Freepro/issues|github d'utilisateurs freepro]] | freepro
