
51 Mot inconnu : deb-src [[2:9]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb-src
51 Mot inconnu : restricted [[59:69]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

52 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb-src
52 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
52 Mot inconnu : restricted [[65:75]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

53 Mot inconnu : deb-src [[2:9]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb-src
53 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
53 Mot inconnu : restricted [[67:77]] => # deb-src http://ch.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

56 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:21]] => == Serveurs Canadiens == <|> canadiens => suggestions : ['canadiens']

58 Mot inconnu : deb [[0:3]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb
58 Mot inconnu : restricted [[53:63]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

59 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb
59 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
59 Mot inconnu : restricted [[59:69]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

60 Mot inconnu : deb [[0:3]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb
60 Mot inconnu : xenial-updates [[41:55]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
60 Mot inconnu : restricted [[61:71]] => deb http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

62 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

63 Mot inconnu : deb-src [[2:9]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb-src
63 Mot inconnu : restricted [[59:69]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

64 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb-src
64 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
64 Mot inconnu : restricted [[65:75]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

65 Mot inconnu : deb-src [[2:9]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb-src
65 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
65 Mot inconnu : restricted [[67:77]] => # deb-src http://ca.archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

70 Mot inconnu : deb [[0:3]] => deb http://archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb
70 Mot inconnu : restricted [[50:60]] => deb http://archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

71 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb
71 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
71 Mot inconnu : restricted [[59:69]] => deb http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

72 Mot inconnu : deb [[0:3]] => deb http://archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb
72 Mot inconnu : xenial-updates [[38:52]] => deb http://archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
72 Mot inconnu : restricted [[58:68]] => deb http://archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

74 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

75 Mot inconnu : deb-src [[2:9]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial main restricted <|> deb-src
75 Mot inconnu : restricted [[56:66]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial main restricted <|> restricted

76 Mot inconnu : deb-src [[2:9]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> deb-src
76 Mot inconnu : xenial-updates [[44:58]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> xenial-updates
76 Mot inconnu : restricted [[64:74]] => # deb-src http://archive.ubuntu.com/ubuntu/ xenial-updates main restricted <|> restricted

77 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> deb-src
77 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> xenial-security
77 Mot inconnu : restricted [[65:75]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security main restricted <|> restricted

80 Mot inconnu : Universe [[12:20]] => ==== Dépôts Universe et Multiverse ==== <|> universe
80 Mot inconnu : Multiverse [[24:34]] => ==== Dépôts Universe et Multiverse ==== <|> multiverse

84 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:20]] => == Serveurs Français == <|> français => suggestions : ['français']

86 Mot inconnu : deb [[0:3]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb
86 Mot inconnu : universe [[48:56]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
86 Mot inconnu : multiverse [[57:67]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

87 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb
87 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
87 Mot inconnu : universe [[54:62]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
87 Mot inconnu : multiverse [[63:73]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

88 Mot inconnu : deb [[0:3]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb
88 Mot inconnu : xenial-updates [[41:55]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
88 Mot inconnu : universe [[56:64]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
88 Mot inconnu : multiverse [[65:75]] => deb http://fr.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

90 Mot inconnu : apt-get [[73:80]] => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

91 Mot inconnu : deb-src [[2:9]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb-src
91 Mot inconnu : universe [[54:62]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
91 Mot inconnu : multiverse [[63:73]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

92 Mot inconnu : deb-src [[2:9]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb-src
92 Mot inconnu : xenial-security [[44:59]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
92 Mot inconnu : universe [[60:68]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
92 Mot inconnu : multiverse [[69:79]] => # deb-src http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

93 Mot inconnu : deb-src [[2:9]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb-src
93 Mot inconnu : xenial-updates [[47:61]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
93 Mot inconnu : universe [[62:70]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> universe
93 Mot inconnu : multiverse [[71:81]] => # deb-src http://fr.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> multiverse

96 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[12:18]] => == Serveurs Belges == <|> belges => suggestions : ['belges']

98 Mot inconnu : deb [[0:3]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> deb
98 Mot inconnu : universe [[48:56]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> universe
98 Mot inconnu : multiverse [[57:67]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial universe multiverse <|> multiverse

99 Mot inconnu : deb [[0:3]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> deb
99 Mot inconnu : xenial-security [[38:53]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> xenial-security
99 Mot inconnu : universe [[54:62]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> universe
99 Mot inconnu : multiverse [[63:73]] => deb http://security.ubuntu.com/ubuntu xenial-security universe multiverse <|> multiverse

100 Mot inconnu : deb [[0:3]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> deb
100 Mot inconnu : xenial-updates [[41:55]] => deb http://be.archive.ubuntu.com/ubuntu/ xenial-updates universe multiverse <|> xenial-updates
