
7 Mot inconnu : IRC => <note warning>Ces FAQ concernent logiquement toutes les versions courantes et suivantes. Les commandes données ne sont pas documentées volontairement pour ne pas surcharger les documents et peuvent être potentiellement **dangereuses pour votre système**. Elles sont à utiliser avec l'aide donnée sur le canal IRC [[irc://irc.freenode.net/ubuntu-fr|#ubuntu-fr]]</note> | irc
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_compil|Compilation]] |  -  => suggestions : [' – ', ' — ', ' − ']
28 Mot inconnu : faq_compil =>   - [[faq_compil|Compilation]] | faq_compil

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_aide|Aide en ligne]] |    => suggestions : ['']
29 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_aide|Aide en ligne]] |  -  => suggestions : [' – ', ' — ', ' − ']
29 Mot inconnu : faq_aide =>   - [[faq_aide|Aide en ligne]] | faq_aide

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[faq_astuce|Astuces]] |    => suggestions : ['']
30 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[faq_astuce|Astuces]] |  -  => suggestions : [' – ', ' — ', ' − ']
30 Mot inconnu : faq_astuce =>   - [[faq_astuce|Astuces]] | faq_astuce
