
65 Mot inconnu : trusty-updates => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-updates main restricted <|> trusty-updates
65 Mot inconnu : restricted => # deb-src http://ca.archive.ubuntu.com/ubuntu/ trusty-updates main restricted <|> restricted

70 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ trusty main restricted <|> deb
70 Mot inconnu : restricted => deb http://archive.ubuntu.com/ubuntu/ trusty main restricted <|> restricted

71 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu trusty-security main restricted <|> deb
71 Mot inconnu : trusty-security => deb http://security.ubuntu.com/ubuntu trusty-security main restricted <|> trusty-security
71 Mot inconnu : restricted => deb http://security.ubuntu.com/ubuntu trusty-security main restricted <|> restricted

72 Mot inconnu : deb => deb http://archive.ubuntu.com/ubuntu/ trusty-updates main restricted <|> deb
72 Mot inconnu : trusty-updates => deb http://archive.ubuntu.com/ubuntu/ trusty-updates main restricted <|> trusty-updates
72 Mot inconnu : restricted => deb http://archive.ubuntu.com/ubuntu/ trusty-updates main restricted <|> restricted

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']

74 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

75 Mot inconnu : deb-src => # deb-src http://archive.ubuntu.com/ubuntu/ trusty main restricted <|> deb-src
75 Mot inconnu : restricted => # deb-src http://archive.ubuntu.com/ubuntu/ trusty main restricted <|> restricted

76 Mot inconnu : deb-src => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-updates main restricted <|> deb-src
76 Mot inconnu : trusty-updates => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-updates main restricted <|> trusty-updates
76 Mot inconnu : restricted => # deb-src http://archive.ubuntu.com/ubuntu/ trusty-updates main restricted <|> restricted

77 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu trusty-security main restricted <|> deb-src
77 Mot inconnu : trusty-security => # deb-src http://security.ubuntu.com/ubuntu trusty-security main restricted <|> trusty-security
77 Mot inconnu : restricted => # deb-src http://security.ubuntu.com/ubuntu trusty-security main restricted <|> restricted

80 Mot inconnu : Universe => ==== Dépôts Universe et Multiverse ==== <|> universe
80 Mot inconnu : Multiverse => ==== Dépôts Universe et Multiverse ==== <|> multiverse

84 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => == Serveurs Français == <|> français => suggestions : ['français']

86 Mot inconnu : deb => deb http://fr.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb
86 Mot inconnu : universe => deb http://fr.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
86 Mot inconnu : multiverse => deb http://fr.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

87 Mot inconnu : deb => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb
87 Mot inconnu : trusty-security => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
87 Mot inconnu : universe => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
87 Mot inconnu : multiverse => deb http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

88 Mot inconnu : deb => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb
88 Mot inconnu : trusty-updates => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> trusty-updates
88 Mot inconnu : universe => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> universe
88 Mot inconnu : multiverse => deb http://fr.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> multiverse

90 Mot inconnu : apt-get => # Dépôts de sources (uniquement utiles pour télécharger les sources avec apt-get source. Dans ce cas, enlever les #) <|> apt-get

91 Mot inconnu : deb-src => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> deb-src
91 Mot inconnu : universe => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> universe
91 Mot inconnu : multiverse => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty universe multiverse <|> multiverse

92 Mot inconnu : deb-src => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> deb-src
92 Mot inconnu : trusty-security => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> trusty-security
92 Mot inconnu : universe => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> universe
92 Mot inconnu : multiverse => # deb-src http://security.ubuntu.com/ubuntu trusty-security universe multiverse <|> multiverse

93 Mot inconnu : deb-src => # deb-src http://fr.archive.ubuntu.com/ubuntu/ trusty-updates universe multiverse <|> deb-src
