1 Mot inconnu : NOCACHE [[2:9]] => ~~NOCACHE~~ <|> nocache

3 Accord de genre erroné : « mailing » est masculin. [[208:210]] => <note info>La Belgique est un pays multi-lingue, dans la mesure du possible, essayez de proposer des traductions de vos documentations dans les autres langues usuelles du pays (le néerlandais et l'allemand). La mailing list d'Ubuntu-be est là pour vous aider à coordonner vos efforts de documentation. Voyez aussi https://wiki.ubuntu.com/BelgianTeam/BeDocs</note> <|> la => suggestions : Le
3 Mot inconnu : list [[219:223]] => <note info>La Belgique est un pays multi-lingue, dans la mesure du possible, essayez de proposer des traductions de vos documentations dans les autres langues usuelles du pays (le néerlandais et l'allemand). La mailing list d'Ubuntu-be est là pour vous aider à coordonner vos efforts de documentation. Voyez aussi https://wiki.ubuntu.com/BelgianTeam/BeDocs</note> <|> list
21 Typographie : points de suspension. Utilisez le caractère dédié. [[286:289]] => Autrement dit, n'utilisez pas cette liste pour demander de l'aide ou un support particulier. Mais si vous organisez un événement auquel une représentation d'Ubunteros Belges serait utile, ou avez une idée géniale pour promouvoir Ubuntu en Belgique, n'hésitez pas à y faire un petit tour...  <|> ... => suggestions : …
21 Espace(s) en fin de ligne à supprimer. [[289:290]] => Autrement dit, n'utilisez pas cette liste pour demander de l'aide ou un support particulier. Mais si vous organisez un événement auquel une représentation d'Ubunteros Belges serait utile, ou avez une idée géniale pour promouvoir Ubuntu en Belgique, n'hésitez pas à y faire un petit tour...  <|>  
28 Mot inconnu : freenode [[34:42]] =>   * Serveur: irc.ubuntu.com:8001 (freenode) <|> freenode
31 Mot inconnu : help-desk [[64:73]] => Remarque: tout comme la mailing-list, le canal IRC n'est pas un help-desk. Il sert avant tout d'outil de coordination pour la BelgianTeam... <|> help-desk
31 Mot inconnu : BelgianTeam [[126:137]] => Remarque: tout comme la mailing-list, le canal IRC n'est pas un help-desk. Il sert avant tout d'outil de coordination pour la BelgianTeam... <|> belgianteam
31 Typographie : points de suspension. Utilisez le caractère dédié. [[137:140]] => Remarque: tout comme la mailing-list, le canal IRC n'est pas un help-desk. Il sert avant tout d'outil de coordination pour la BelgianTeam... <|> ... => suggestions : …
