1 Mot inconnu : OPENLDAP => ====== OPENLDAP + SAMBA + CLIENT WINDOWS 7 ====== | openldap
195 Typographie : points de suspension. Utilisez le caractère dédié. => ... Retourne l'ensemble des éléments ... | ... => suggestions : ['…']
195 Typographie : points de suspension. Utilisez le caractère dédié. => ... Retourne l'ensemble des éléments ... | ... => suggestions : ['…']

207 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Voila il ne reste plus qu'a se connecter avec un pc Windows, mais un problème subsiste et la connexion est impossible: | a => suggestions : ['à']

209 Mot inconnu : developpeurs => Eh bien les developpeurs de Samba ont eu leur petite idée. Il faut deux ingrédients: | developpeurs

211 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faire une petite modification du registre de Windows Seven. |    => suggestions : ['']
211 Mot inconnu : Seven =>   * Faire une petite modification du registre de Windows Seven. | seven

212 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer au minimum de Samba 3.3.7 ou de Samba 3.4.0. |    => suggestions : ['']

214 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
