
4 Mot inconnu : Winetricks [[7:17]] => ====== Winetricks ====== <|> winetricks

27 Accord de genre erroné : « bibliothèque » est féminin. [[89:91]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> un => suggestions : une
27 Mot inconnu : the [[129:132]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> the
27 Mot inconnu : default [[133:140]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> default
27 Mot inconnu : wineprefix [[141:151]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> wineprefix
27 Mot inconnu : Install [[162:169]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> install
27 Mot inconnu : component [[187:196]] => Une première fenêtre s'ouvre pour vous demander ce que vous voulez faire. Pour installer un bibliothèque cochez la case //Select the default wineprefix//, Puis //Install a Windows DLL or component//. <|> component
36 Mot inconnu : option-de-config-wine [[92:113]] => Où on remplacera « nom-de-la-bibliothèque » par le nom de la bibliothèque à installer, et « option-de-config-wine » par l'instruction de configuration. Un espace séparera chaque élément. <|> option-de-config-wine

49 Mot inconnu : fontfix [[19:26]] => //(Ici on a ajouté fontfix, puisque le commentaire qui accompagne cette bibliothèque indique son utilité avec dotnet20.)// <|> fontfix
49 Mot inconnu : dotnet20 [[110:118]] => //(Ici on a ajouté fontfix, puisque le commentaire qui accompagne cette bibliothèque indique son utilité avec dotnet20.)// <|> dotnet20

56 Mot inconnu : winetricks [[18:28]] => Les bibliothèques winetricks et instructions de configuration disponibles sont listées dans le tableau ci-dessous. <|> winetricks

60 Mot inconnu : winetricks [[94:104]] => Ce tableau liste les bibliothèques et instructions de configuration qui sont disponibles dans winetricks. À noter que le script winetricks est régulièrement mis à jour, il est donc possible que cette liste ne soit pas exhaustive. <|> winetricks
60 Mot inconnu : winetricks [[128:138]] => Ce tableau liste les bibliothèques et instructions de configuration qui sont disponibles dans winetricks. À noter que le script winetricks est régulièrement mis à jour, il est donc possible que cette liste ne soit pas exhaustive. <|> winetricks

63 Espace(s) surnuméraire(s) à supprimer. [[5:15]] => |7zip          |7-zip file archiver| <|>            => suggestions :  
70 Mot inconnu : mscomctl [[40:48]] => |**comctl32.ocx**  |MS comctl32.ocx and mscomctl.ocx, comctl32 wrappers for VB6 **voir avertissement sous le tableau**| <|> mscomctl
70 Mot inconnu : ocx [[49:52]] => |**comctl32.ocx**  |MS comctl32.ocx and mscomctl.ocx, comctl32 wrappers for VB6 **voir avertissement sous le tableau**| <|> ocx
70 Mot inconnu : comctl32 [[54:62]] => |**comctl32.ocx**  |MS comctl32.ocx and mscomctl.ocx, comctl32 wrappers for VB6 **voir avertissement sous le tableau**| <|> comctl32
70 Mot inconnu : wrappers [[63:71]] => |**comctl32.ocx**  |MS comctl32.ocx and mscomctl.ocx, comctl32 wrappers for VB6 **voir avertissement sous le tableau**| <|> wrappers
70 Mot inconnu : VB6 [[76:79]] => |**comctl32.ocx**  |MS comctl32.ocx and mscomctl.ocx, comctl32 wrappers for VB6 **voir avertissement sous le tableau**| <|> vb6

71 Mot inconnu : controlpad [[1:11]] => |controlpad    |MS ActiveX Control Pad| <|> controlpad
71 Espace(s) surnuméraire(s) à supprimer. [[11:15]] => |controlpad    |MS ActiveX Control Pad| <|>      => suggestions :  
71 Mot inconnu : ActiveX [[19:26]] => |controlpad    |MS ActiveX Control Pad| <|> activex
71 Mot inconnu : Control [[27:34]] => |controlpad    |MS ActiveX Control Pad| <|> control
71 Mot inconnu : Pad [[35:38]] => |controlpad    |MS ActiveX Control Pad| <|> pad

72 Mot inconnu : cygwin [[1:7]] => |cygwin        |Unix apps for Windows (needed by some build scripts)| <|> cygwin
72 Espace(s) surnuméraire(s) à supprimer. [[7:15]] => |cygwin        |Unix apps for Windows (needed by some build scripts)| <|>          => suggestions :  
72 Mot inconnu : apps [[21:25]] => |cygwin        |Unix apps for Windows (needed by some build scripts)| <|> apps
72 Mot inconnu : needed [[39:45]] => |cygwin        |Unix apps for Windows (needed by some build scripts)| <|> needed
72 Mot inconnu : by [[46:48]] => |cygwin        |Unix apps for Windows (needed by some build scripts)| <|> by
72 Mot inconnu : some [[49:53]] => |cygwin        |Unix apps for Windows (needed by some build scripts)| <|> some

73 Mot inconnu : corefonts [[1:10]] => |corefonts     |MS Arial, Courier, Times fonts| <|> corefonts
73 Espace(s) surnuméraire(s) à supprimer. [[10:15]] => |corefonts     |MS Arial, Courier, Times fonts| <|>       => suggestions :  
73 Mot inconnu : Arial [[19:24]] => |corefonts     |MS Arial, Courier, Times fonts| <|> arial
73 Mot inconnu : Courier [[26:33]] => |corefonts     |MS Arial, Courier, Times fonts| <|> courier
73 Mot inconnu : Times [[35:40]] => |corefonts     |MS Arial, Courier, Times fonts| <|> times

74 Mot inconnu : d3dx9 [[1:6]] => |d3dx9         |MS d3dx9_??.dll (from DirectX user redistributable)| <|> d3dx9
74 Espace(s) surnuméraire(s) à supprimer. [[6:15]] => |d3dx9         |MS d3dx9_??.dll (from DirectX user redistributable)| <|>           => suggestions :  
74 Mot inconnu : d3dx9_ [[19:25]] => |d3dx9         |MS d3dx9_??.dll (from DirectX user redistributable)| <|> d3dx9_
74 Mot inconnu : from [[33:37]] => |d3dx9         |MS d3dx9_??.dll (from DirectX user redistributable)| <|> from
74 Mot inconnu : redistributable [[51:66]] => |d3dx9         |MS d3dx9_??.dll (from DirectX user redistributable)| <|> redistributable

75 Mot inconnu : d3dx9_28 [[1:9]] => |d3dx9_28      |MS d3dx9_28.dll| <|> d3dx9_28
75 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |d3dx9_28      |MS d3dx9_28.dll| <|>        => suggestions :  
75 Mot inconnu : d3dx9_28 [[19:27]] => |d3dx9_28      |MS d3dx9_28.dll| <|> d3dx9_28

76 Mot inconnu : d3dx9_36 [[1:9]] => |d3dx9_36      |MS d3dx9_36.dll| <|> d3dx9_36
76 Espace(s) surnuméraire(s) à supprimer. [[9:15]] => |d3dx9_36      |MS d3dx9_36.dll| <|>        => suggestions :  
76 Mot inconnu : d3dx9_36 [[19:27]] => |d3dx9_36      |MS d3dx9_36.dll| <|> d3dx9_36

77 Mot inconnu : d3dx10 [[1:7]] => |d3dx10        |MS d3dx10_??.dll (from DirectX user redistributable)| <|> d3dx10
77 Espace(s) surnuméraire(s) à supprimer. [[7:15]] => |d3dx10        |MS d3dx10_??.dll (from DirectX user redistributable)| <|>          => suggestions :  
77 Mot inconnu : d3dx10_ [[19:26]] => |d3dx10        |MS d3dx10_??.dll (from DirectX user redistributable)| <|> d3dx10_
77 Mot inconnu : from [[34:38]] => |d3dx10        |MS d3dx10_??.dll (from DirectX user redistributable)| <|> from
