
5 Mot inconnu : XVNC => ====== XVNC - Un Terminal Serveur X par Vnc ====== | xvnc
29 Mot inconnu : Vino =>   * Vino - installé dans Ubuntu par défaut. Il est gourmand en ressource et en réseau. | vino
29 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Vino - installé dans Ubuntu par défaut. Il est gourmand en ressource et en réseau. |  -  => suggestions : [' – ', ' — ', ' − ']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * RealVNC n'est pas vraiment recommandé - Voir XF4VNC plus bas. |    => suggestions : ['']
31 Mot inconnu : RealVNC =>   * RealVNC n'est pas vraiment recommandé - Voir XF4VNC plus bas. | realvnc
31 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * RealVNC n'est pas vraiment recommandé - Voir XF4VNC plus bas. |  -  => suggestions : [' – ', ' — ', ' − ']
31 Mot inconnu : XF4VNC =>   * RealVNC n'est pas vraiment recommandé - Voir XF4VNC plus bas. | xf4vnc

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[X11VNC]] |    => suggestions : ['']
32 Mot inconnu : X11VNC =>   * [[X11VNC]] | x11vnc

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * XF4VNC devrait se montrer plus efficace et plus sûr que RealVNC. Il supporte également les extensions GLX, ce que TightVNC ne fait pas (à vérifier dans les dernières versions). |    => suggestions : ['']
33 Mot inconnu : XF4VNC =>   * XF4VNC devrait se montrer plus efficace et plus sûr que RealVNC. Il supporte également les extensions GLX, ce que TightVNC ne fait pas (à vérifier dans les dernières versions). | xf4vnc
33 Mot inconnu : RealVNC =>   * XF4VNC devrait se montrer plus efficace et plus sûr que RealVNC. Il supporte également les extensions GLX, ce que TightVNC ne fait pas (à vérifier dans les dernières versions). | realvnc
33 Mot inconnu : TightVNC =>   * XF4VNC devrait se montrer plus efficace et plus sûr que RealVNC. Il supporte également les extensions GLX, ce que TightVNC ne fait pas (à vérifier dans les dernières versions). | tightvnc

39 Mot inconnu : VNC => La partie serveur VNC est contrôlée par le drapeau "Use flag", qu'on peut donc activer pour le packet approprié.  | vnc
39 Guillemets typographiques ouvrants. => La partie serveur VNC est contrôlée par le drapeau "Use flag", qu'on peut donc activer pour le packet approprié.  | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : flag => La partie serveur VNC est contrôlée par le drapeau "Use flag", qu'on peut donc activer pour le packet approprié.  | flag
39 Guillemets typographiques fermants. => La partie serveur VNC est contrôlée par le drapeau "Use flag", qu'on peut donc activer pour le packet approprié.  | " => suggestions : ['\xa0»', '”']
39 Mot inconnu : packet => La partie serveur VNC est contrôlée par le drapeau "Use flag", qu'on peut donc activer pour le packet approprié.  | packet
39 Espace(s) en fin de ligne à supprimer. => La partie serveur VNC est contrôlée par le drapeau "Use flag", qu'on peut donc activer pour le packet approprié.  |   => suggestions : ['']

43 Mot inconnu : TightVNC => ==== TightVNC (conseillé) ==== | tightvnc
45 Mot inconnu : tightvncserver => [[apt>tightvncserver,xtightvncviewer,tightvnc-java|Cliquer pour installer tightvnc.]] | tightvncserver
45 Il manque un espace. => [[apt>tightvncserver,xtightvncviewer,tightvnc-java|Cliquer pour installer tightvnc.]] | xtightvncviewer => suggestions : [' xtightvncviewer']
45 Mot inconnu : xtightvncviewer => [[apt>tightvncserver,xtightvncviewer,tightvnc-java|Cliquer pour installer tightvnc.]] | xtightvncviewer
45 Mot inconnu : tightvnc-java => [[apt>tightvncserver,xtightvncviewer,tightvnc-java|Cliquer pour installer tightvnc.]] | tightvnc-java
