
96 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[30:33]] =>   * Format audio : MP3 - 128kb - 48000 Mhz <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
96 Si “Mhz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[33:42]] =>   * Format audio : MP3 - 128kb - 48000 Mhz <|> 48000 mhz => suggestions : ['48\xa0000\xa0Mhz']
96 Mot inconnu : Mhz [[39:42]] =>   * Format audio : MP3 - 128kb - 48000 Mhz <|> mhz
97 Signe de multiplication typographique. [[25:32]] =>   * Résolution, aspect : 704x384, 16/9 <|> 704x384 => suggestions : ['704\xa0×\xa0384']
97 Mot inconnu : x384 [[28:32]] =>   * Résolution, aspect : 704x384, 16/9 <|> x384

100 Mot inconnu : XviD [[4:8]] => === XviD Widescreen Anamorphic === <|> xvid
100 Mot inconnu : Widescreen [[9:19]] => === XviD Widescreen Anamorphic === <|> widescreen
100 Mot inconnu : Anamorphic [[20:30]] => === XviD Widescreen Anamorphic === <|> anamorphic
102 Mot inconnu : avi [[16:19]] =>   * Extension : avi <|> avi
103 Mot inconnu : video [[11:16]] =>   * Format video : Xvid - 1800kb <|> video
103 Mot inconnu : Xvid [[19:23]] =>   * Format video : Xvid - 1800kb <|> xvid
103 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[23:26]] =>   * Format video : Xvid - 1800kb <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
103 Mot inconnu : kb [[30:32]] =>   * Format video : Xvid - 1800kb <|> kb
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[22:25]] =>   * Format audio : MP3 - 128kb - 48000Mhz <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
104 Mot inconnu : kb [[28:30]] =>   * Format audio : MP3 - 128kb - 48000Mhz <|> kb
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[30:33]] =>   * Format audio : MP3 - 128kb - 48000Mhz <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
104 Mot inconnu : Mhz [[38:41]] =>   * Format audio : MP3 - 128kb - 48000Mhz <|> mhz
105 Signe de multiplication typographique. [[25:32]] =>   * Résolution, aspect : 640x272, 16/9 étirée pour être en 16/9 <|> 640x272 => suggestions : ['640\xa0×\xa0272']
105 Mot inconnu : x272 [[28:32]] =>   * Résolution, aspect : 640x272, 16/9 étirée pour être en 16/9 <|> x272

108 Mot inconnu : AVI [[18:21]] => === MS Compatible AVI === <|> avi
110 Mot inconnu : avi [[16:19]] =>   * Extension : avi <|> avi
111 Mot inconnu : video [[11:16]] =>   * Format video : FIXME - 1000kb <|> video
111 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[24:27]] =>   * Format video : FIXME - 1000kb <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
111 Mot inconnu : kb [[31:33]] =>   * Format video : FIXME - 1000kb <|> kb
112 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[22:25]] =>   * Format audio : MP3 - 192kb - 44100 Mhz <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
112 Mot inconnu : kb [[28:30]] =>   * Format audio : MP3 - 192kb - 44100 Mhz <|> kb
112 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) [[30:33]] =>   * Format audio : MP3 - 192kb - 44100 Mhz <|>  -  => suggestions : [' – ', ' — ', ' − ', ' −']
112 Si “Mhz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[33:42]] =>   * Format audio : MP3 - 192kb - 44100 Mhz <|> 44100 mhz => suggestions : ['44\xa0100\xa0Mhz']
112 Mot inconnu : Mhz [[39:42]] =>   * Format audio : MP3 - 192kb - 44100 Mhz <|> mhz
113 Signe de multiplication typographique. [[25:32]] =>   * Résolution, aspect : 640x480, 4/3 <|> 640x480 => suggestions : ['640\xa0×\xa0480']
113 Mot inconnu : x480 [[28:32]] =>   * Résolution, aspect : 640x480, 4/3 <|> x480

116 Mot inconnu : Blackberry [[5:15]] => ==== Blackberry ==== <|> blackberry

118 Mot inconnu : Blackberry [[4:14]] => === Blackberry Curve Fullscreen === <|> blackberry
118 Mot inconnu : Curve [[15:20]] => === Blackberry Curve Fullscreen === <|> curve
118 Mot inconnu : Fullscreen [[21:31]] => === Blackberry Curve Fullscreen === <|> fullscreen
120 Mot inconnu : mp4 [[16:19]] =>   * Extension : mp4 <|> mp4
121 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

126 Mot inconnu : Blackberry [[4:14]] => === Blackberry Curve Widescreen === <|> blackberry
126 Mot inconnu : Curve [[15:20]] => === Blackberry Curve Widescreen === <|> curve
126 Mot inconnu : Widescreen [[21:31]] => === Blackberry Curve Widescreen === <|> widescreen
128 Mot inconnu : mp4 [[16:19]] =>   * Extension : mp4 <|> mp4
129 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

134 Mot inconnu : Blackberry [[4:14]] => === Blackberry Video Fullscreen === <|> blackberry
134 Mot inconnu : Video [[15:20]] => === Blackberry Video Fullscreen === <|> video
134 Mot inconnu : Fullscreen [[21:31]] => === Blackberry Video Fullscreen === <|> fullscreen
136 Mot inconnu : mp4 [[16:19]] =>   * Extension : mp4 <|> mp4
137 Mot inconnu : video [[11:16]] =>   * Format video : FIXME <|> video

142 Mot inconnu : Blackberry [[4:14]] => === Blackberry Music === <|> blackberry
142 Mot inconnu : Music [[15:20]] => === Blackberry Music === <|> music

148 Mot inconnu : Blackberry [[4:14]] => === Blackberry Video Widescreen === <|> blackberry
148 Mot inconnu : Video [[15:20]] => === Blackberry Video Widescreen === <|> video
