
5 Mot inconnu : MiniCopier => ====== MiniCopier ====== | minicopier
49 Mot inconnu : MiniCopier =>   cd MiniCopier* | minicopier

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod +x MiniCopier.sh |    => suggestions : ['']
50 Mot inconnu : sudo =>   sudo chmod +x MiniCopier.sh | sudo
50 Mot inconnu : chmod =>   sudo chmod +x MiniCopier.sh | chmod
50 Mot inconnu : MiniCopier =>   sudo chmod +x MiniCopier.sh | minicopier
50 Mot inconnu : sh =>   sudo chmod +x MiniCopier.sh | sh

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	 |    => suggestions : ['']
51 Incohérence : espace et tabulation. =>   	 |  	 => suggestions : [' ', '\t']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cat > /tmp/MiniCopier << EOF |    => suggestions : ['']
52 Mot inconnu : cat =>   cat > /tmp/MiniCopier << EOF | cat
52 Mot inconnu : EOF =>   cat > /tmp/MiniCopier << EOF | eof

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   curdir=\$PWD |    => suggestions : ['']
53 Mot inconnu : curdir =>   curdir=\$PWD | curdir
53 Mot inconnu : PWD =>   curdir=\$PWD | pwd

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd $PWD |    => suggestions : ['']
54 Mot inconnu : PWD =>   cd $PWD | pwd

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./MiniCopier.sh |    => suggestions : ['']
55 Mot inconnu : MiniCopier =>   ./MiniCopier.sh | minicopier
55 Mot inconnu : sh =>   ./MiniCopier.sh | sh

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd \$curdir |    => suggestions : ['']
56 Mot inconnu : curdir =>   cd \$curdir | curdir

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   EOF |    => suggestions : ['']
57 Mot inconnu : EOF =>   EOF | eof

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chmod +x /tmp/MiniCopier |    => suggestions : ['']
59 Mot inconnu : chmod =>   chmod +x /tmp/MiniCopier | chmod

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	 |    => suggestions : ['']
60 Incohérence : espace et tabulation. =>   	 |  	 => suggestions : [' ', '\t']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mv -f /tmp/MiniCopier /usr/local/bin/ |    => suggestions : ['']
61 Mot inconnu : sudo =>   sudo mv -f /tmp/MiniCopier /usr/local/bin/ | sudo
61 Mot inconnu : mv =>   sudo mv -f /tmp/MiniCopier /usr/local/bin/ | mv
61 Il manque un espace à côté du tiret. =>   sudo mv -f /tmp/MiniCopier /usr/local/bin/ |  - => suggestions : [' – ', ' — ']

63 Mot inconnu : MiniCopier => 3. Lancez MiniCopier avec la commande : | minicopier

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   MiniCopier |    => suggestions : ['']
65 Mot inconnu : MiniCopier =>   MiniCopier | minicopier

86 Mot inconnu : Beryl => ===Si vous utilisez une ancienne version de Beryl/Compiz=== | beryl
86 Mot inconnu : Compiz => ===Si vous utilisez une ancienne version de Beryl/Compiz=== | compiz

87 Espace(s) en fin de ligne à supprimer. => Il est possible que la fenêtre de l'application s'affiche vide.  |   => suggestions : ['']

89 Mot inconnu : MiniCopier => **MiniCopier.sh** (présent dans le répertoire où l'archive de MiniCopier a été décompressée). | minicopier
89 Mot inconnu : sh => **MiniCopier.sh** (présent dans le répertoire où l'archive de MiniCopier a été décompressée). | sh
89 Mot inconnu : MiniCopier => **MiniCopier.sh** (présent dans le répertoire où l'archive de MiniCopier a été décompressée). | minicopier

93 Mot inconnu : AWT_TOOLKIT => **export AWT_TOOLKIT="MToolkit"** | awt_toolkit
93 Guillemets typographiques ouvrants. => **export AWT_TOOLKIT="MToolkit"** | " => suggestions : ['«\xa0', '“']
93 Mot inconnu : MToolkit => **export AWT_TOOLKIT="MToolkit"** | mtoolkit
93 Guillemets typographiques fermants. => **export AWT_TOOLKIT="MToolkit"** | " => suggestions : ['\xa0»', '”']

95 Il manque un espace à côté du tiret. => juste avant la ligne //java -jar MiniCopier.jar $*// |  - => suggestions : [' – ', ' — ']
95 Mot inconnu : MiniCopier => juste avant la ligne //java -jar MiniCopier.jar $*// | minicopier
95 Il manque un espace. => juste avant la ligne //java -jar MiniCopier.jar $*// | jar => suggestions : [' jar']

101 Mot inconnu : MiniCopier => MiniCopier a besoin d'une machine virtuelle Java. Seules les JVM de Sun (à partir de la version 5) et OpenJDK sont capables de le faire fonctionner.  | minicopier
101 Mot inconnu : JVM => MiniCopier a besoin d'une machine virtuelle Java. Seules les JVM de Sun (à partir de la version 5) et OpenJDK sont capables de le faire fonctionner.  | jvm
101 Mot inconnu : Sun => MiniCopier a besoin d'une machine virtuelle Java. Seules les JVM de Sun (à partir de la version 5) et OpenJDK sont capables de le faire fonctionner.  | sun
101 Mot inconnu : OpenJDK => MiniCopier a besoin d'une machine virtuelle Java. Seules les JVM de Sun (à partir de la version 5) et OpenJDK sont capables de le faire fonctionner.  | openjdk
101 Espace(s) en fin de ligne à supprimer. => MiniCopier a besoin d'une machine virtuelle Java. Seules les JVM de Sun (à partir de la version 5) et OpenJDK sont capables de le faire fonctionner.  |   => suggestions : ['']

102 Mot inconnu : GCJ => GCJ n'est pas compatible. \\ | gcj

112 Typographie : points de suspension. Utilisez le caractère dédié. => Entrez le numéro de l'interpréteur .../lib/jvm/java-6-sun/jre/bin/java\\ | ... => suggestions : ['…']

116 Mot inconnu : look'n'feel => ===Modifier le look'n'feel=== | look'n'feel

117 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A son lancement MiniCopier crée un fichier de configuration (configuration.ini). \\ | a => suggestions : ['À']
117 Mot inconnu : MiniCopier => A son lancement MiniCopier crée un fichier de configuration (configuration.ini). \\ | minicopier
117 Mot inconnu : ini => A son lancement MiniCopier crée un fichier de configuration (configuration.ini). \\ | ini

118 Espace(s) en fin de ligne à supprimer. => Il est possible de modifier certains paramètres de l'application, y compris le thème, en éditant ce fichier.  |   => suggestions : ['']

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://www.adriancourreges.com/projects/minicopier|Site officiel de MiniCopier]] |    => suggestions : ['']
122 Mot inconnu : MiniCopier =>   * [[http://www.adriancourreges.com/projects/minicopier|Site officiel de MiniCopier]] | minicopier

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://forum.ubuntu-fr.org/viewtopic.php?id=169579|ce fil de discussion]]. |    => suggestions : ['']

124 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[gestionnaire_de_copie|Gestionnaire de copies]] sur doc.ubuntu-fr.org |    => suggestions : ['']
124 Mot inconnu : gestionnaire_de_copie =>   * [[gestionnaire_de_copie|Gestionnaire de copies]] sur doc.ubuntu-fr.org | gestionnaire_de_copie
124 Mot inconnu : ubuntu-fr =>   * [[gestionnaire_de_copie|Gestionnaire de copies]] sur doc.ubuntu-fr.org | ubuntu-fr
