

49 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /mnt        | montage | **m**ou**nt** | Point de montage pour monter temporairement un système de fichiers | <|>          => suggestions : [' ']
49 Mot inconnu : nt [[35:37]] => | /mnt        | montage | **m**ou**nt** | Point de montage pour monter temporairement un système de fichiers | <|> nt
49 Mot inconnu : nt [[35:37]] => | /mnt        | montage | **m**ou**nt** | Point de montage pour monter temporairement un système de fichiers | <|> nt


50 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|>          => suggestions : [' ']
50 Espace(s) surnuméraire(s) à supprimer. [[6:14]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|>          => suggestions : [' ']
50 Mot inconnu : opt [[30:33]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|> opt
50 Mot inconnu : opt [[30:33]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|> opt
50 Mot inconnu : ional [[35:40]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|> ional
50 Mot inconnu : ional [[35:40]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|> ional
50 Mot inconnu : opt [[130:133]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|> opt
50 Mot inconnu : opt [[130:133]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|> opt
50 Mot inconnu : ionnels [[135:142]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|> ionnels
50 Mot inconnu : ionnels [[135:142]] => | /opt        | optionnel | **opt**ional | Emplacement pour des applications installées hors gestionnaire de paquets (logiciels **opt**ionnels) | <|> ionnels


51 Mot inconnu : proc [[3:7]] => | /proc       | processus | **proc**esses | Répertoire virtuel pour les informations système (états du noyau et des processus système) | <|> proc
51 Mot inconnu : proc [[3:7]] => | /proc       | processus | **proc**esses | Répertoire virtuel pour les informations système (états du noyau et des processus système) | <|> proc
51 Espace(s) surnuméraire(s) à supprimer. [[7:14]] => | /proc       | processus | **proc**esses | Répertoire virtuel pour les informations système (états du noyau et des processus système) | <|>         => suggestions : [' ']
51 Espace(s) surnuméraire(s) à supprimer. [[7:14]] => | /proc       | processus | **proc**esses | Répertoire virtuel pour les informations système (états du noyau et des processus système) | <|>         => suggestions : [' ']
51 Mot inconnu : proc [[30:34]] => | /proc       | processus | **proc**esses | Répertoire virtuel pour les informations système (états du noyau et des processus système) | <|> proc
51 Mot inconnu : proc [[30:34]] => | /proc       | processus | **proc**esses | Répertoire virtuel pour les informations système (états du noyau et des processus système) | <|> proc


53 Mot inconnu : run [[3:6]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|> run
53 Mot inconnu : run [[3:6]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|> run
53 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|>    => suggestions : [' ']
53 Espace(s) surnuméraire(s) à supprimer. [[6:8]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|>    => suggestions : [' ']
53 Mot inconnu : run [[32:35]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|> run
53 Mot inconnu : run [[32:35]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|> run
53 Mot inconnu : time [[37:41]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|> time
53 Mot inconnu : time [[37:41]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|> time
53 Mot inconnu : system [[42:48]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|> system
53 Mot inconnu : system [[42:48]] => | /run  | exécution système | **run**time system | Informations relatives au système depuis son dernier démarrage (ex : utilisateurs actifs, services en cours d'exécution, etc.) | <|> system


