
4 Mot inconnu : Tcl [[7:10]] => ====== Tcl/Tk ====== <|> tcl
4 Mot inconnu : Tk [[11:13]] => ====== Tcl/Tk ====== <|> tk

6 Mot inconnu : Tcl [[0:3]] => Tcl/Tk est un langage de programmation de type interprété (comme le python ou le perl). <|> tcl
6 Mot inconnu : Tk [[4:6]] => Tcl/Tk est un langage de programmation de type interprété (comme le python ou le perl). <|> tk
6 Mot inconnu : perl [[81:85]] => Tcl/Tk est un langage de programmation de type interprété (comme le python ou le perl). <|> perl

7 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[26:30]] => Il a longtemps été utilisé car il était le plus simple pour implémenter des interfaces graphiques. <|>  car => suggestions : [', car']
12 Mot inconnu : tcl8 [[8:12]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> tcl8
12 Mot inconnu : tcl8 [[15:19]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> tcl8
12 Mot inconnu : dev [[22:25]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> dev
12 Il manque un espace. [[26:30]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> tcl8 => suggestions : [' tcl8']
12 Mot inconnu : tcl8 [[26:30]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> tcl8
12 Mot inconnu : tcl8 [[37:41]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> tcl8
12 Mot inconnu : tcl8 [[44:48]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> tcl8
12 Mot inconnu : dev [[51:54]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> dev
12 Mot inconnu : tcl8 [[55:59]] => **[[apt>tcl8.6,tcl8.6-dev,tcl8.6-doc|tcl8.6 tcl8.6-dev tcl8.6-doc]]** <|> tcl8
