
4 Mot inconnu : Exalt => ====== Exalt ====== | exalt
31 Guillemets typographiques ouvrants. =>               <allow send_interface="org.e.Exalt"/> | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. =>               <allow send_interface="org.e.Exalt"/> | " => suggestions : ['\xa0»', '”']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       </policy> |        => suggestions : ['']

43 Mot inconnu : exalt => Si vous ne l'avez pas déjà fait, chargez le module exalt, et placez le par exemple dans un shelf du tableau de bord, vous devriez alors avoir le réseau opérationnel :\\ | exalt
43 S’il s’agit d’un impératif, mettez un trait d’union. => Si vous ne l'avez pas déjà fait, chargez le module exalt, et placez le par exemple dans un shelf du tableau de bord, vous devriez alors avoir le réseau opérationnel :\\ | placez le => suggestions : ['placez-le']
43 Mot inconnu : shelf => Si vous ne l'avez pas déjà fait, chargez le module exalt, et placez le par exemple dans un shelf du tableau de bord, vous devriez alors avoir le réseau opérationnel :\\ | shelf

48 Mot inconnu : wicd => Et décochez la case correspondant à wicd, appliquez le changement, redémarrez, et exalt fonctionnera normalement. | wicd
48 Mot inconnu : exalt => Et décochez la case correspondant à wicd, appliquez le changement, redémarrez, et exalt fonctionnera normalement. | exalt

50 Mot inconnu : subsidiares => ===== Solutions subsidiares ===== | subsidiares

51 Mot inconnu : Exalt => Dans le cas où Exalt ne fonctionnerait pas correctement, nous vous proposons deux autres solutions : | exalt
53 Mot inconnu : Network-manager => ==== Solution 1 : Gnome Network-manager==== | network-manager

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - //nm-applet// dans la partie **nom** |      => suggestions : ['']
55 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - //nm-applet// dans la partie **nom** |  -  => suggestions : [' – ', ' — ', ' − ']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - ///usr/bin/nm-applet// dans la partie **exécutable** |      => suggestions : ['']
56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - ///usr/bin/nm-applet// dans la partie **exécutable** |  -  => suggestions : [' – ', ' — ', ' − ']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
64 Mot inconnu : wicd => ==== Solution 2 : wicd ==== | wicd
