14 Mot inconnu : Stitch =>   * [[Stitch Panorama]]: un plugin Gimp pour faire des panoramas <|> stitch
16 Mot inconnu : Wideangle =>   * [[Wideangle]] : un  filtre Gimp qui élimine les distorsions de barillets. ([[http://members.ozemail.com.au/%7Ehodsond/wideangle.html|Site officiel]]) <|> wideangle
17 Mot inconnu : Enblend =>   * [[Enblend]] : Image Blending with Multiresolution Splines permet d'affiner le travail fait avec Hugin par exemple. Lit des TIFF et les assemble très proprement. ([[http://www-cad.eecs.berkeley.edu/%7Emihal/enblend/|Site officiel]]) <|> enblend
17 Mot inconnu : Blending =>   * [[Enblend]] : Image Blending with Multiresolution Splines permet d'affiner le travail fait avec Hugin par exemple. Lit des TIFF et les assemble très proprement. ([[http://www-cad.eecs.berkeley.edu/%7Emihal/enblend/|Site officiel]]) <|> blending
17 Mot inconnu : with =>   * [[Enblend]] : Image Blending with Multiresolution Splines permet d'affiner le travail fait avec Hugin par exemple. Lit des TIFF et les assemble très proprement. ([[http://www-cad.eecs.berkeley.edu/%7Emihal/enblend/|Site officiel]]) <|> with
17 Mot inconnu : Multiresolution =>   * [[Enblend]] : Image Blending with Multiresolution Splines permet d'affiner le travail fait avec Hugin par exemple. Lit des TIFF et les assemble très proprement. ([[http://www-cad.eecs.berkeley.edu/%7Emihal/enblend/|Site officiel]]) <|> multiresolution
17 Mot inconnu : Hugin =>   * [[Enblend]] : Image Blending with Multiresolution Splines permet d'affiner le travail fait avec Hugin par exemple. Lit des TIFF et les assemble très proprement. ([[http://www-cad.eecs.berkeley.edu/%7Emihal/enblend/|Site officiel]]) <|> hugin
17 Mot inconnu : TIFF =>   * [[Enblend]] : Image Blending with Multiresolution Splines permet d'affiner le travail fait avec Hugin par exemple. Lit des TIFF et les assemble très proprement. ([[http://www-cad.eecs.berkeley.edu/%7Emihal/enblend/|Site officiel]]) <|> tiff
18 Mot inconnu : Fotoxx =>   * [[Fotoxx]] : un logiciel de gestion et retouches de photos avec une fonction de panoramas. <|> fotoxx
21 Mot inconnu : ubuntu-fr =>   * Discussion "[[https://forum.ubuntu-fr.org/viewtopic.php?pid=3572611|Visionneuse d'un panorama en 3D]] sur le forum ubuntu-fr <|> ubuntu-fr
