
6 Mot inconnu : Lighttpd => ====== Lighttpd : Un serveur web léger ====== | lighttpd
92 Mot inconnu : fpm => Les lignes sont à adapter. Par exemple, pour PHP version 7.2 vous remplacerez les termes "php7.0-fpm" par "php7.2-fpm" (après avoir installé php7.2-fpm), et le dossier utilisé sera ///etc/php/7.2//.  | fpm
92 Guillemets typographiques fermants. => Les lignes sont à adapter. Par exemple, pour PHP version 7.2 vous remplacerez les termes "php7.0-fpm" par "php7.2-fpm" (après avoir installé php7.2-fpm), et le dossier utilisé sera ///etc/php/7.2//.  | " => suggestions : ['\xa0»', '”']
92 Mot inconnu : php7 => Les lignes sont à adapter. Par exemple, pour PHP version 7.2 vous remplacerez les termes "php7.0-fpm" par "php7.2-fpm" (après avoir installé php7.2-fpm), et le dossier utilisé sera ///etc/php/7.2//.  | php7
92 Mot inconnu : fpm => Les lignes sont à adapter. Par exemple, pour PHP version 7.2 vous remplacerez les termes "php7.0-fpm" par "php7.2-fpm" (après avoir installé php7.2-fpm), et le dossier utilisé sera ///etc/php/7.2//.  | fpm
92 Espace(s) en fin de ligne à supprimer. => Les lignes sont à adapter. Par exemple, pour PHP version 7.2 vous remplacerez les termes "php7.0-fpm" par "php7.2-fpm" (après avoir installé php7.2-fpm), et le dossier utilisé sera ///etc/php/7.2//.  |   => suggestions : ['']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  </note> |   => suggestions : ['']

95 Mot inconnu : MySql => ==== MySql ==== | mysql
99 Mot inconnu : mysql-client => **[[apt>mysql-client,mysql-server,php5-mysql]]** FIXME cf [[php]] | mysql-client
99 Il manque un espace. => **[[apt>mysql-client,mysql-server,php5-mysql]]** FIXME cf [[php]] | mysql-server => suggestions : [' mysql-server']
99 Mot inconnu : mysql-server => **[[apt>mysql-client,mysql-server,php5-mysql]]** FIXME cf [[php]] | mysql-server
99 Mot inconnu : php5-mysql => **[[apt>mysql-client,mysql-server,php5-mysql]]** FIXME cf [[php]] | php5-mysql
99 Mot inconnu : FIXME => **[[apt>mysql-client,mysql-server,php5-mysql]]** FIXME cf [[php]] | fixme
99 Mot inconnu : php => **[[apt>mysql-client,mysql-server,php5-mysql]]** FIXME cf [[php]] | php

100 Mot inconnu : PHPMyAdmin => Et éventuellement PHPMyAdmin : | phpmyadmin

103 Mot inconnu : MySql => Lors de l'installation, vous serez tout d'abord invité à indiquer à MySql qu'il fonctionnera avec Lighttpd. | mysql
103 Mot inconnu : Lighttpd => Lors de l'installation, vous serez tout d'abord invité à indiquer à MySql qu'il fonctionnera avec Lighttpd. | lighttpd

104 Mot inconnu : root => Puis vous serez amenés à choisir un mot de passe pour l'accès root à phpmyadmin. | root
104 Mot inconnu : phpmyadmin => Puis vous serez amenés à choisir un mot de passe pour l'accès root à phpmyadmin. | phpmyadmin

112 Mot inconnu : PHPMyAdmin => Si vous avez installé PHPMyAdmin, la base de données est alors accessible à l'adresse suivante : http://localhost/phpmyadmin | phpmyadmin

119 Mot inconnu : fastcgi => Deux exemples de configuration pour Redmine, le premier avec fastcgi (qui ne fonctionne plus avec Redmine 2), le second avec thin (un second serveur). Prenez garde aux chemins utilisés dans ces exemples. | fastcgi
119 Mot inconnu : thin => Deux exemples de configuration pour Redmine, le premier avec fastcgi (qui ne fonctionne plus avec Redmine 2), le second avec thin (un second serveur). Prenez garde aux chemins utilisés dans ces exemples. | thin

121 Il manque un espace. => <file># /etc/lighttpd/conf-available/redmine.conf | conf => suggestions : [' conf']

122 Mot inconnu : fastcgi => # avec fastcgi, mod_fastcgi | fastcgi
122 Mot inconnu : mod_fastcgi => # avec fastcgi, mod_fastcgi | mod_fastcgi

123 Guillemets typographiques ouvrants. => $HTTP["host"] =~ "hostname" { | " => suggestions : ['«\xa0', '“']
123 Mot inconnu : host => $HTTP["host"] =~ "hostname" { | host
123 Guillemets typographiques fermants. => $HTTP["host"] =~ "hostname" { | " => suggestions : ['\xa0»', '”']
123 Guillemets typographiques ouvrants. => $HTTP["host"] =~ "hostname" { | " => suggestions : ['«\xa0', '“']
123 Mot inconnu : hostname => $HTTP["host"] =~ "hostname" { | hostname
123 Guillemets typographiques fermants. => $HTTP["host"] =~ "hostname" { | " => suggestions : ['\xa0»', '”']

124 Mot inconnu : server => 	server.document-root = "/usr/share/redmine/public/" | server
124 Mot inconnu : document-root => 	server.document-root = "/usr/share/redmine/public/" | document-root

125 Mot inconnu : accesslog => 	accesslog.filename   = "/var/log/lighttpd/redmine.access.log" | accesslog
125 Mot inconnu : filename => 	accesslog.filename   = "/var/log/lighttpd/redmine.access.log" | filename
125 Espace(s) surnuméraire(s) à supprimer. => 	accesslog.filename   = "/var/log/lighttpd/redmine.access.log" |     => suggestions : [' ']

126 Mot inconnu : server => 	server.error-handler-404 = "/dispatch.fcgi" | server
126 Mot inconnu : error-handler-404 => 	server.error-handler-404 = "/dispatch.fcgi" | error-handler-404
126 Mot inconnu : dispatch => 	server.error-handler-404 = "/dispatch.fcgi" | dispatch
126 Mot inconnu : fcgi => 	server.error-handler-404 = "/dispatch.fcgi" | fcgi
126 Guillemets typographiques fermants. => 	server.error-handler-404 = "/dispatch.fcgi" | " => suggestions : ['\xa0»', '”']

127 Mot inconnu : server => 	server.indexfiles = ( "dispatch.fcgi" ) | server
127 Mot inconnu : indexfiles => 	server.indexfiles = ( "dispatch.fcgi" ) | indexfiles
127 Pas d’espace après ce signe. => 	server.indexfiles = ( "dispatch.fcgi" ) | (  => suggestions : ['(']
127 Guillemets typographiques ouvrants. => 	server.indexfiles = ( "dispatch.fcgi" ) | " => suggestions : ['«\xa0', '“']
127 Mot inconnu : dispatch => 	server.indexfiles = ( "dispatch.fcgi" ) | dispatch
127 Mot inconnu : fcgi => 	server.indexfiles = ( "dispatch.fcgi" ) | fcgi
127 Guillemets typographiques fermants. => 	server.indexfiles = ( "dispatch.fcgi" ) | " => suggestions : ['\xa0»', '”']
127 Pas d’espace avant ce signe. => 	server.indexfiles = ( "dispatch.fcgi" ) |  ) => suggestions : [')']

128 Mot inconnu : fastcgi => 	fastcgi.server += ( | fastcgi
128 Mot inconnu : server => 	fastcgi.server += ( | server

129 Mot inconnu : fcgi => 		".fcgi" => ( | fcgi
129 Guillemets typographiques fermants. => 		".fcgi" => ( | " => suggestions : ['\xa0»', '”']

130 Guillemets typographiques ouvrants. => 			"redmine" => ( | " => suggestions : ['«\xa0', '“']
130 Mot inconnu : redmine => 			"redmine" => ( | redmine
130 Guillemets typographiques fermants. => 			"redmine" => ( | " => suggestions : ['\xa0»', '”']

131 Guillemets typographiques ouvrants. => 				"min-procs" => 1, | " => suggestions : ['«\xa0', '“']
131 Mot inconnu : min-procs => 				"min-procs" => 1, | min-procs
131 Guillemets typographiques fermants. => 				"min-procs" => 1, | " => suggestions : ['\xa0»', '”']

132 Guillemets typographiques ouvrants. => 				"max-procs" => 2, | " => suggestions : ['«\xa0', '“']
132 Mot inconnu : max-procs => 				"max-procs" => 2, | max-procs
132 Guillemets typographiques fermants. => 				"max-procs" => 2, | " => suggestions : ['\xa0»', '”']

133 Guillemets typographiques ouvrants. => 				"socket"    => "/tmp/redmine-default-fcgi.socket", | " => suggestions : ['«\xa0', '“']
133 Guillemets typographiques fermants. => 				"socket"    => "/tmp/redmine-default-fcgi.socket", | " => suggestions : ['\xa0»', '”']
133 Guillemets typographiques fermants. => 				"socket"    => "/tmp/redmine-default-fcgi.socket", | " => suggestions : ['\xa0»', '”']

134 Guillemets typographiques ouvrants. => 				"bin-path"  => "/usr/share/redmine/public/dispatch.fcgi", | " => suggestions : ['«\xa0', '“']
134 Mot inconnu : bin-path => 				"bin-path"  => "/usr/share/redmine/public/dispatch.fcgi", | bin-path
134 Guillemets typographiques fermants. => 				"bin-path"  => "/usr/share/redmine/public/dispatch.fcgi", | " => suggestions : ['\xa0»', '”']

135 Guillemets typographiques ouvrants. => 				"bin-environment" => ( | " => suggestions : ['«\xa0', '“']
135 Mot inconnu : bin-environment => 				"bin-environment" => ( | bin-environment
135 Guillemets typographiques fermants. => 				"bin-environment" => ( | " => suggestions : ['\xa0»', '”']

136 Guillemets typographiques ouvrants. => 					"RAILS_RELATIVE_URL_ROOT" => "", | " => suggestions : ['«\xa0', '“']
