
5 Mot inconnu : iso [[42:45]] => ====== Passer d'un DVD Vidéo à un fichier iso  ====== <|> iso
5 Espace(s) surnuméraire(s) à supprimer. [[45:47]] => ====== Passer d'un DVD Vidéo à un fichier iso  ====== <|>    => suggestions : [' ']
6 Mot inconnu : dvd95 [[281:286]] => Pour convertir un DVD vidéo en fichier ISO dans le but de faire une sauvegarde de ces films originaux, vous pouvez soit utiliser [[#Avec Brasero|Brasero]], soit [[#Avec K3B|K3B]] ou encore [[#Dvd2Iso|un script personnalisé]] disponible sur cette page. D'autres alternatives sont [[dvd95]], [[k9copy]].\\ <|> dvd95
6 Mot inconnu : k9copy [[292:298]] => Pour convertir un DVD vidéo en fichier ISO dans le but de faire une sauvegarde de ces films originaux, vous pouvez soit utiliser [[#Avec Brasero|Brasero]], soit [[#Avec K3B|K3B]] ou encore [[#Dvd2Iso|un script personnalisé]] disponible sur cette page. D'autres alternatives sont [[dvd95]], [[k9copy]].\\ <|> k9copy

7 Mot inconnu : Dvdbackup [[55:64]] => Il est également possible de combiner l'utilisation de Dvdbackup qui sait faire une sauvegarde des fichiers et de la structure d'un DVD Vidéo sur le disque dur avec mkisofs qui peut produire une image iso fonctionnelle à partir de ces fichiers. <|> dvdbackup
7 Mot inconnu : mkisofs [[165:172]] => Il est également possible de combiner l'utilisation de Dvdbackup qui sait faire une sauvegarde des fichiers et de la structure d'un DVD Vidéo sur le disque dur avec mkisofs qui peut produire une image iso fonctionnelle à partir de ces fichiers. <|> mkisofs
7 Mot inconnu : iso [[201:204]] => Il est également possible de combiner l'utilisation de Dvdbackup qui sait faire une sauvegarde des fichiers et de la structure d'un DVD Vidéo sur le disque dur avec mkisofs qui peut produire une image iso fonctionnelle à partir de ces fichiers. <|> iso

22 Mot inconnu : K3B [[10:13]] => =====Avec K3B===== <|> k3b

38 Mot inconnu : VLC [[39:42]] => Vous pourrez le lire par la suite avec VLC en allant dans le menu //Média -> Ouvrir un fichier//, puis naviguer jusqu'à vos fichiers vidéos. <|> vlc
43 Mot inconnu : ubuntu-fr [[100:109]] =>   * [[http://forum.ubuntu-fr.org/viewtopic.php?pid=3504850#p3504850|cette discussion]] sur le forum ubuntu-fr. <|> ubuntu-fr
47 Mot inconnu : djoole [[18:24]] => //Contributeurs : djoole - (v0.1), SandMan - (v0.2), [[utilisateurs:Mr_Djez|Mr_Djez]] - (v0.3)// <|> djoole
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[24:27]] => //Contributeurs : djoole - (v0.1), SandMan - (v0.2), [[utilisateurs:Mr_Djez|Mr_Djez]] - (v0.3)// <|>  -  => suggestions : [' – ', ' — ', ' − ']
47 Mot inconnu : v0 [[28:30]] => //Contributeurs : djoole - (v0.1), SandMan - (v0.2), [[utilisateurs:Mr_Djez|Mr_Djez]] - (v0.3)// <|> v0
47 Mot inconnu : SandMan [[35:42]] => //Contributeurs : djoole - (v0.1), SandMan - (v0.2), [[utilisateurs:Mr_Djez|Mr_Djez]] - (v0.3)// <|> sandman
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[42:45]] => //Contributeurs : djoole - (v0.1), SandMan - (v0.2), [[utilisateurs:Mr_Djez|Mr_Djez]] - (v0.3)// <|>  -  => suggestions : [' – ', ' — ', ' − ']
47 Mot inconnu : v0 [[46:48]] => //Contributeurs : djoole - (v0.1), SandMan - (v0.2), [[utilisateurs:Mr_Djez|Mr_Djez]] - (v0.3)// <|> v0
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[85:88]] => //Contributeurs : djoole - (v0.1), SandMan - (v0.2), [[utilisateurs:Mr_Djez|Mr_Djez]] - (v0.3)// <|>  -  => suggestions : [' – ', ' — ', ' − ']
47 Mot inconnu : v0 [[89:91]] => //Contributeurs : djoole - (v0.1), SandMan - (v0.2), [[utilisateurs:Mr_Djez|Mr_Djez]] - (v0.3)// <|> v0
