
55 Guillemets typographiques ouvrants. => REMOTE_LIRCD_CONF="pinnacle_systems/lircd.conf.pctv" | " => suggestions : ['«\xa0', '“']
55 Mot inconnu : pinnacle_systems => REMOTE_LIRCD_CONF="pinnacle_systems/lircd.conf.pctv" | pinnacle_systems
55 Il manque un espace. => REMOTE_LIRCD_CONF="pinnacle_systems/lircd.conf.pctv" | conf => suggestions : [' conf']
55 Guillemets typographiques fermants. => REMOTE_LIRCD_CONF="pinnacle_systems/lircd.conf.pctv" | " => suggestions : ['\xa0»', '”']

56 Mot inconnu : REMOTE_LIRCD_ARGS => REMOTE_LIRCD_ARGS="" | remote_lircd_args

58 Mot inconnu : IR => #Chosen IR Transmitter | ir
58 Mot inconnu : Transmitter => #Chosen IR Transmitter | transmitter

59 Mot inconnu : TRANSMITTER => TRANSMITTER="None" | transmitter
59 Guillemets typographiques ouvrants. => TRANSMITTER="None" | " => suggestions : ['«\xa0', '“']
59 Guillemets typographiques fermants. => TRANSMITTER="None" | " => suggestions : ['\xa0»', '”']

60 Mot inconnu : TRANSMITTER_MODULES => TRANSMITTER_MODULES="" | transmitter_modules

61 Mot inconnu : TRANSMITTER_DRIVER => TRANSMITTER_DRIVER="" | transmitter_driver

62 Mot inconnu : TRANSMITTER_DEVICE => TRANSMITTER_DEVICE="" | transmitter_device

63 Mot inconnu : TRANSMITTER_LIRCD_CONF => TRANSMITTER_LIRCD_CONF="" | transmitter_lircd_conf

64 Mot inconnu : TRANSMITTER_LIRCD_ARGS => TRANSMITTER_LIRCD_ARGS="" | transmitter_lircd_args

66 Mot inconnu : lircd => #Enable lircd | lircd

67 Mot inconnu : START_LIRCD => START_LIRCD="true" | start_lircd
67 Guillemets typographiques ouvrants. => START_LIRCD="true" | " => suggestions : ['«\xa0', '“']
67 Mot inconnu : true => START_LIRCD="true" | true
67 Guillemets typographiques fermants. => START_LIRCD="true" | " => suggestions : ['\xa0»', '”']

69 Mot inconnu : start => #Don't start lircmd even if there seems to be a good config file | start
69 Mot inconnu : lircmd => #Don't start lircmd even if there seems to be a good config file | lircmd
69 Mot inconnu : even => #Don't start lircmd even if there seems to be a good config file | even
69 Mot inconnu : there => #Don't start lircmd even if there seems to be a good config file | there
