
4 Mot inconnu : Fidelity [[22:30]] => ====== LI-FI ou Light Fidelity ======  <|> fidelity
140 Mot inconnu : Area [[51:55]] => ZigBee est un LP-WPAN (Low Power-Wireless Personal Area Network) : c’est un réseau sans-fil à courte portée et à faible consommation énergétique. \\ Autrement dit, c’est un protocole de communication sans-fil conçu par la ZigBee Alliance basé sur la norme IEEE 802.15.4 qui définit les couches PHY (Physique) et MAC (Medium Acess Control).  \\ ZigBee est donc un standard de communication sans-fils tout comme le Wifi ou le Bluetooth. <|> area
140 Mot inconnu : ZigBee [[222:228]] => ZigBee est un LP-WPAN (Low Power-Wireless Personal Area Network) : c’est un réseau sans-fil à courte portée et à faible consommation énergétique. \\ Autrement dit, c’est un protocole de communication sans-fil conçu par la ZigBee Alliance basé sur la norme IEEE 802.15.4 qui définit les couches PHY (Physique) et MAC (Medium Acess Control).  \\ ZigBee est donc un standard de communication sans-fils tout comme le Wifi ou le Bluetooth. <|> zigbee
140 Mot inconnu : IEEE [[256:260]] => ZigBee est un LP-WPAN (Low Power-Wireless Personal Area Network) : c’est un réseau sans-fil à courte portée et à faible consommation énergétique. \\ Autrement dit, c’est un protocole de communication sans-fil conçu par la ZigBee Alliance basé sur la norme IEEE 802.15.4 qui définit les couches PHY (Physique) et MAC (Medium Acess Control).  \\ ZigBee est donc un standard de communication sans-fils tout comme le Wifi ou le Bluetooth. <|> ieee
140 Mot inconnu : PHY [[294:297]] => ZigBee est un LP-WPAN (Low Power-Wireless Personal Area Network) : c’est un réseau sans-fil à courte portée et à faible consommation énergétique. \\ Autrement dit, c’est un protocole de communication sans-fil conçu par la ZigBee Alliance basé sur la norme IEEE 802.15.4 qui définit les couches PHY (Physique) et MAC (Medium Acess Control).  \\ ZigBee est donc un standard de communication sans-fils tout comme le Wifi ou le Bluetooth. <|> phy
140 Mot inconnu : Acess [[324:329]] => ZigBee est un LP-WPAN (Low Power-Wireless Personal Area Network) : c’est un réseau sans-fil à courte portée et à faible consommation énergétique. \\ Autrement dit, c’est un protocole de communication sans-fil conçu par la ZigBee Alliance basé sur la norme IEEE 802.15.4 qui définit les couches PHY (Physique) et MAC (Medium Acess Control).  \\ ZigBee est donc un standard de communication sans-fils tout comme le Wifi ou le Bluetooth. <|> acess
140 Mot inconnu : Control [[330:337]] => ZigBee est un LP-WPAN (Low Power-Wireless Personal Area Network) : c’est un réseau sans-fil à courte portée et à faible consommation énergétique. \\ Autrement dit, c’est un protocole de communication sans-fil conçu par la ZigBee Alliance basé sur la norme IEEE 802.15.4 qui définit les couches PHY (Physique) et MAC (Medium Acess Control).  \\ ZigBee est donc un standard de communication sans-fils tout comme le Wifi ou le Bluetooth. <|> control
140 Espace(s) surnuméraire(s) à supprimer. [[339:341]] => ZigBee est un LP-WPAN (Low Power-Wireless Personal Area Network) : c’est un réseau sans-fil à courte portée et à faible consommation énergétique. \\ Autrement dit, c’est un protocole de communication sans-fil conçu par la ZigBee Alliance basé sur la norme IEEE 802.15.4 qui définit les couches PHY (Physique) et MAC (Medium Acess Control).  \\ ZigBee est donc un standard de communication sans-fils tout comme le Wifi ou le Bluetooth. <|>    => suggestions :  
140 Mot inconnu : ZigBee [[344:350]] => ZigBee est un LP-WPAN (Low Power-Wireless Personal Area Network) : c’est un réseau sans-fil à courte portée et à faible consommation énergétique. \\ Autrement dit, c’est un protocole de communication sans-fil conçu par la ZigBee Alliance basé sur la norme IEEE 802.15.4 qui définit les couches PHY (Physique) et MAC (Medium Acess Control).  \\ ZigBee est donc un standard de communication sans-fils tout comme le Wifi ou le Bluetooth. <|> zigbee

154 Mot inconnu : __Légende [[0:9]] => __Légende de la photo__ : Champs d'application de la technologie LI-FI en espace clos \\ <|> __légende
154 Mot inconnu : photo__ [[16:23]] => __Légende de la photo__ : Champs d'application de la technologie LI-FI en espace clos \\ <|> photo__

155 Mot inconnu : __Traduction [[0:12]] => __Traduction des termes iconographiques__ : <|> __traduction
155 Mot inconnu : iconographiques__ [[24:41]] => __Traduction des termes iconographiques__ : <|> iconographiques__
156 Mot inconnu : lightning [[14:23]] =>   * Smart LED lightning : éclairage LED intelligent. <|> lightning
157 Mot inconnu : Encoded [[4:11]] =>   * Encoded data (on/off) : données encodées (marche/arrêt) Ndt : interrupteur mural. <|> encoded
157 Mot inconnu : Ndt [[60:63]] =>   * Encoded data (on/off) : données encodées (marche/arrêt) Ndt : interrupteur mural. <|> ndt
158 Mot inconnu : PDA [[4:7]] =>   * PDA : Agenda électronique (remplacés par les téléphones portables). <|> pda
159 Mot inconnu : Wireless [[4:12]] =>   * Wireless thermostat : thermostat sans fil. <|> wireless
160 Mot inconnu : Clock [[4:9]] =>   * Clock : Horloge. <|> clock
161 Mot inconnu : video [[7:12]] =>   * HD video streaming : flux vidéo Haute Définition. <|> video
162 Mot inconnu : access [[13:19]] =>   * Internet access : accès Internet. <|> access
163 Mot inconnu : Ndt [[52:55]] =>   * Data (water me) : données (besoins d'arrosage). Ndt : plante en pot avec sonde hydrique. <|> ndt
164 Mot inconnu : Printer [[4:11]] =>   * Printer : imprimante. <|> printer
165 Mot inconnu : Laptop [[4:10]] =>   * Laptop : ordinateur portable. <|> laptop

167 Mot inconnu : LIFI [[14:18]] => === Usages du LIFI === <|> lifi
177 Mot inconnu : urban [[13:18]] => |  **« Smart urban communication network »— { Réseau urbain de communication connectée }**  | <|> urban

179 Mot inconnu : __Légende [[0:9]] => __Légende de la photo__ : Champs d'application de la technologie LI-FI en espace ouvert \\ <|> __légende
179 Mot inconnu : photo__ [[16:23]] => __Légende de la photo__ : Champs d'application de la technologie LI-FI en espace ouvert \\ <|> photo__

180 Mot inconnu : __Titre [[0:7]] => __Titre de l'illustration__ : Smart urban communication network <|> __titre
180 Mot inconnu : illustration__ [[13:27]] => __Titre de l'illustration__ : Smart urban communication network <|> illustration__
180 Mot inconnu : urban [[36:41]] => __Titre de l'illustration__ : Smart urban communication network <|> urban

182 Mot inconnu : __Transcription [[0:15]] => __Transcription de l'iconographie__ : <|> __transcription
182 Mot inconnu : iconographie__ [[21:35]] => __Transcription de l'iconographie__ : <|> iconographie__

183 Mot inconnu : ZigBee [[59:65]] => Une chaussée où circulent des véhicules reliés par liaison ZigBee aux candélabres (éclairage public) qui eux-mêmes reçoivent Internet en WIFI. \\ <|> zigbee

186 Mot inconnu : LIFI [[14:18]] => === Usages du LIFI === <|> lifi
