
57 Mot inconnu : chown =>   sudo chown utilisateur:utilisateur ~/.mpdconf | chown
57 Il manque un espace. =>   sudo chown utilisateur:utilisateur ~/.mpdconf | utilisateur => suggestions : [' utilisateur']
57 Mot inconnu : mpdconf =>   sudo chown utilisateur:utilisateur ~/.mpdconf | mpdconf

59 Mot inconnu : mpd => Créez les dossiers et fichiers nécessaires pour permettre a mpd de fonctionner : | mpd

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir -p ~/.mpd/playlists |    => suggestions : ['']
61 Mot inconnu : mkdir =>   mkdir -p ~/.mpd/playlists | mkdir
61 Il manque un espace à côté du tiret. =>   mkdir -p ~/.mpd/playlists |  - => suggestions : [' – ', ' — ']
61 Mot inconnu : mpd =>   mkdir -p ~/.mpd/playlists | mpd

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/.mpd |    => suggestions : ['']
62 Mot inconnu : mpd =>   cd ~/.mpd | mpd

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   touch mpd.log mpd.db mpd.error state |    => suggestions : ['']
63 Mot inconnu : touch =>   touch mpd.log mpd.db mpd.error state | touch
63 Mot inconnu : mpd =>   touch mpd.log mpd.db mpd.error state | mpd
63 Il manque un espace. =>   touch mpd.log mpd.db mpd.error state | log => suggestions : [' log']
63 Mot inconnu : mpd =>   touch mpd.log mpd.db mpd.error state | mpd
63 Mot inconnu : db =>   touch mpd.log mpd.db mpd.error state | db
63 Mot inconnu : mpd =>   touch mpd.log mpd.db mpd.error state | mpd
63 Mot inconnu : error =>   touch mpd.log mpd.db mpd.error state | error

65 Mot inconnu : mpdconf => Modifiez les paramètres suivants dans le fichier ~/.mpdconf (pensez à adapter le chemin vers la racine de votre dossier de musiques) :  | mpdconf
65 Espace(s) en fin de ligne à supprimer. => Modifiez les paramètres suivants dans le fichier ~/.mpdconf (pensez à adapter le chemin vers la racine de votre dossier de musiques) :  |   => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   port			  "6600" |    => suggestions : ['']
67 Incohérence : espace et tabulation. =>   port			  "6600" | 	  => suggestions : [' ', '\t']
67 Guillemets typographiques ouvrants. =>   port			  "6600" | " => suggestions : ['«\xa0', '“']
67 Guillemets typographiques fermants. =>   port			  "6600" | " => suggestions : ['\xa0»', '”']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   music_directory         "/dossier/contenant/votre/musique" |    => suggestions : ['']
68 Mot inconnu : music_directory =>   music_directory         "/dossier/contenant/votre/musique" | music_directory
68 Espace(s) surnuméraire(s) à supprimer. =>   music_directory         "/dossier/contenant/votre/musique" |           => suggestions : [' ']
68 Guillemets typographiques fermants. =>   music_directory         "/dossier/contenant/votre/musique" | " => suggestions : ['\xa0»', '”']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   playlist_directory      "~/.mpd/playlists" |    => suggestions : ['']
69 Mot inconnu : playlist_directory =>   playlist_directory      "~/.mpd/playlists" | playlist_directory
69 Espace(s) surnuméraire(s) à supprimer. =>   playlist_directory      "~/.mpd/playlists" |        => suggestions : [' ']
69 Mot inconnu : mpd =>   playlist_directory      "~/.mpd/playlists" | mpd
69 Guillemets typographiques fermants. =>   playlist_directory      "~/.mpd/playlists" | " => suggestions : ['\xa0»', '”']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   db_file                        "~/.mpd/mpd.db" |    => suggestions : ['']
70 Mot inconnu : db_file =>   db_file                        "~/.mpd/mpd.db" | db_file
70 Espace(s) surnuméraire(s) à supprimer. =>   db_file                        "~/.mpd/mpd.db" |                          => suggestions : [' ']
70 Mot inconnu : mpd =>   db_file                        "~/.mpd/mpd.db" | mpd
70 Mot inconnu : mpd =>   db_file                        "~/.mpd/mpd.db" | mpd
70 Mot inconnu : db =>   db_file                        "~/.mpd/mpd.db" | db
70 Guillemets typographiques fermants. =>   db_file                        "~/.mpd/mpd.db" | " => suggestions : ['\xa0»', '”']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   log_file                       "~/.mpd/mpd.log" |    => suggestions : ['']
71 Mot inconnu : log_file =>   log_file                       "~/.mpd/mpd.log" | log_file
71 Espace(s) surnuméraire(s) à supprimer. =>   log_file                       "~/.mpd/mpd.log" |                         => suggestions : [' ']
71 Mot inconnu : mpd =>   log_file                       "~/.mpd/mpd.log" | mpd
71 Mot inconnu : mpd =>   log_file                       "~/.mpd/mpd.log" | mpd
71 Il manque un espace. =>   log_file                       "~/.mpd/mpd.log" | log => suggestions : [' log']
71 Guillemets typographiques fermants. =>   log_file                       "~/.mpd/mpd.log" | " => suggestions : ['\xa0»', '”']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   error_file                    "~/.mpd/mpd.error" |    => suggestions : ['']
72 Mot inconnu : error_file =>   error_file                    "~/.mpd/mpd.error" | error_file
72 Espace(s) surnuméraire(s) à supprimer. =>   error_file                    "~/.mpd/mpd.error" |                      => suggestions : [' ']
72 Mot inconnu : mpd =>   error_file                    "~/.mpd/mpd.error" | mpd
72 Mot inconnu : mpd =>   error_file                    "~/.mpd/mpd.error" | mpd
72 Mot inconnu : error =>   error_file                    "~/.mpd/mpd.error" | error
72 Guillemets typographiques fermants. =>   error_file                    "~/.mpd/mpd.error" | " => suggestions : ['\xa0»', '”']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   pid_file                       "~/.mpd/pid" |    => suggestions : ['']
73 Mot inconnu : pid_file =>   pid_file                       "~/.mpd/pid" | pid_file
73 Espace(s) surnuméraire(s) à supprimer. =>   pid_file                       "~/.mpd/pid" |                         => suggestions : [' ']
73 Mot inconnu : mpd =>   pid_file                       "~/.mpd/pid" | mpd
73 Mot inconnu : pid =>   pid_file                       "~/.mpd/pid" | pid
73 Guillemets typographiques fermants. =>   pid_file                       "~/.mpd/pid" | " => suggestions : ['\xa0»', '”']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   state_file                    "~/.mpd/state" |    => suggestions : ['']
74 Mot inconnu : state_file =>   state_file                    "~/.mpd/state" | state_file
74 Espace(s) surnuméraire(s) à supprimer. =>   state_file                    "~/.mpd/state" |                      => suggestions : [' ']
74 Mot inconnu : mpd =>   state_file                    "~/.mpd/state" | mpd
74 Guillemets typographiques fermants. =>   state_file                    "~/.mpd/state" | " => suggestions : ['\xa0»', '”']

77 Il manque un trait d’union. => Trouvez la ligne ci dessous et commentez la (en faisant cela, mpd va se lancer avec le compte utilisateur courant) | ci dessous => suggestions : ['ci-dessous']
77 S’il s’agit d’un impératif, mettez un trait d’union. => Trouvez la ligne ci dessous et commentez la (en faisant cela, mpd va se lancer avec le compte utilisateur courant) | commentez la => suggestions : ['commentez-la']
77 Mot inconnu : mpd => Trouvez la ligne ci dessous et commentez la (en faisant cela, mpd va se lancer avec le compte utilisateur courant) | mpd

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   user                            "mpd" |    => suggestions : ['']
78 Espace(s) surnuméraire(s) à supprimer. =>   user                            "mpd" |                              => suggestions : [' ']
78 Guillemets typographiques ouvrants. =>   user                            "mpd" | " => suggestions : ['«\xa0', '“']
78 Mot inconnu : mpd =>   user                            "mpd" | mpd
