43 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 13 - Marseille Marignane (Provence) | LFML |
43 Mot inconnu : LFML => | 13 - Marseille Marignane (Provence) | LFML |

44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 13 - Salon-de-Provence | LFMY |
44 Mot inconnu : LFMY => | 13 - Salon-de-Provence | LFMY |

45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 14 - Caen Carpiquet | LFRK |
45 Mot inconnu : Carpiquet => | 14 - Caen Carpiquet | LFRK |
45 Mot inconnu : LFRK => | 14 - Caen Carpiquet | LFRK |

46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 14 - Deauville Saint-Gatien | LFRG |
46 Mot inconnu : LFRG => | 14 - Deauville Saint-Gatien | LFRG |

47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 15 - Aurillac | LFLW |
47 Mot inconnu : LFLW => | 15 - Aurillac | LFLW |

48 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 16 - Cognac Châteaubernard | LFBG |
48 Mot inconnu : Châteaubernard => | 16 - Cognac Châteaubernard | LFBG |
48 Mot inconnu : LFBG => | 16 - Cognac Châteaubernard | LFBG |

49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 17 - La Rochelle aérodrome | LFBH |
49 Mot inconnu : LFBH => | 17 - La Rochelle aérodrome | LFBH |

50 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 18 - Avord | LFOA |
50 Mot inconnu : Avord => | 18 - Avord | LFOA |
50 Mot inconnu : LFOA => | 18 - Avord | LFOA |

51 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 18 - Bourges | LFLD |
51 Mot inconnu : LFLD => | 18 - Bourges | LFLD |

52 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 19 - Brive la Gaillarde la Roche | LFBV |
52 Mot inconnu : Brive => | 19 - Brive la Gaillarde la Roche | LFBV |
52 Mot inconnu : LFBV => | 19 - Brive la Gaillarde la Roche | LFBV |

53 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 19 - Brive la Gaillarde Souillac vallée Dordogne | LFSL |
53 Mot inconnu : Brive => | 19 - Brive la Gaillarde Souillac vallée Dordogne | LFSL |
53 Mot inconnu : Souillac => | 19 - Brive la Gaillarde Souillac vallée Dordogne | LFSL |
53 Mot inconnu : LFSL => | 19 - Brive la Gaillarde Souillac vallée Dordogne | LFSL |

54 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 20 - Ajaccio Campo Dell Oro | LFKJ |
54 Mot inconnu : Oro => | 20 - Ajaccio Campo Dell Oro | LFKJ |
54 Mot inconnu : LFKJ => | 20 - Ajaccio Campo Dell Oro | LFKJ |

55 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 20 - Bastia Poretta | LFKB |
55 Mot inconnu : Poretta => | 20 - Bastia Poretta | LFKB |
55 Mot inconnu : LFKB => | 20 - Bastia Poretta | LFKB |

56 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 20 - Calvi Ste Catherine | LFKC |
56 Mot inconnu : Calvi => | 20 - Calvi Ste Catherine | LFKC |
56 Mot inconnu : Ste => | 20 - Calvi Ste Catherine | LFKC |
56 Il manque un trait d’union s’il s’agit d’une église, d’une cité, d’une communauté, d’un lieu… S’il s’agit d’une personne, écrivez “saint” ou “sainte” sans majuscule, sans trait d’union. => | 20 - Calvi Ste Catherine | LFKC |
56 Mot inconnu : LFKC => | 20 - Calvi Ste Catherine | LFKC |

57 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => | 20 - Figari Sud Corsica | LFKF |
