7 Il manque un espace insécable. => ====== Liste des portables « Gigabyte » ======
7 Mot inconnu : Gigabyte => ====== Liste des portables « Gigabyte » ======
7 Il manque un espace insécable. => ====== Liste des portables « Gigabyte » ======

9 Espace(s) surnuméraire(s) à supprimer. => ^ Modèle ^ Problème installation ^ Problème matériel ^ Commentaires  ^  [[:versions|Version]]  ^ Testeur ^

10 Mot inconnu : Gigabyte => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
10 Mot inconnu : X11 => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
10 Espace(s) surnuméraire(s) à supprimer. => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
10 Mot inconnu : usb => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
10 Mot inconnu : Gigabyte => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
10 Mot inconnu : X11 => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
10 Mot inconnu : trusty => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
10 Il manque un espace. => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
10 Mot inconnu : binerf => | Gigabyte X11   | Non | Problème usb 3 non reconnu. |  (en) [[http://www.gigabyte.com/products/product-page.aspx?pid=4247#kf|Site officiel du portable Gigabyte X11]] |  [[:trusty|Ubuntu 14.04]] | [[:utilisateurs:binerf]] |
