
16 Typographie : points de suspension. Utilisez le caractère dédié. [[91:94]] => Plus loin, un tableau non exhaustif récapitulant les codes trouvés sur différents sites web... <|> ... => suggestions : ['…']
18 Mot inconnu : vga [[44:47]] => ===== Tableau des codes pour le paramètre « vga » ====== <|> vga
20 Mot inconnu : vga [[137:140]] => Il existe deux type de codes --- décimaux ou hexadécimaux --- qui peuvent l'un comme l'autre être passés au noyau //via// le paramètre « vga ». <|> vga
27 Espace(s) en fin de ligne à supprimer. [[129:131]] => Ou bien utilisez le tableau suivant (à noter que certaines valeurs de ce tableau semblent variables suivant la carte graphique) :   <|>    => suggestions : ['']

30 Mot inconnu : hexa [[35:39]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa
30 Mot inconnu : hexa [[53:57]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa
30 Mot inconnu : hexa [[71:75]] => ^ Taille ^ Nom ^ Ratio ^ décimal ^ hexa. ^ décimal ^ hexa. ^ décimal ^ hexa. ^ <|> hexa

35 Mot inconnu : SXGA [[14:18]] => |1400 × 1050 |SXGA+ |1.33 |839 ? | **0x347** ? |834 |**0x342** |835 |**0x343** | <|> sxga
35 Mot inconnu : x347 [[38:42]] => |1400 × 1050 |SXGA+ |1.33 |839 ? | **0x347** ? |834 |**0x342** |835 |**0x343** | <|> x347
35 Mot inconnu : x342 [[56:60]] => |1400 × 1050 |SXGA+ |1.33 |839 ? | **0x347** ? |834 |**0x342** |835 |**0x343** | <|> x342
35 Mot inconnu : x343 [[72:76]] => |1400 × 1050 |SXGA+ |1.33 |839 ? | **0x347** ? |834 |**0x342** |835 |**0x343** | <|> x343

36 Mot inconnu : UXGA [[14:18]] => |1600 × 1200 |UXGA  |1.33 |796 |**0x31C** |798   |**0x31E** |799   |**0x31F** | <|> uxga
36 Espace(s) surnuméraire(s) à supprimer. [[18:20]] => |1600 × 1200 |UXGA  |1.33 |796 |**0x31C** |798   |**0x31E** |799   |**0x31F** | <|>    => suggestions : [' ']
36 Mot inconnu : x31C [[35:39]] => |1600 × 1200 |UXGA  |1.33 |796 |**0x31C** |798   |**0x31E** |799   |**0x31F** | <|> x31c
36 Espace(s) surnuméraire(s) à supprimer. [[46:49]] => |1600 × 1200 |UXGA  |1.33 |796 |**0x31C** |798   |**0x31E** |799   |**0x31F** | <|>     => suggestions : [' ']
36 Mot inconnu : x31E [[53:57]] => |1600 × 1200 |UXGA  |1.33 |796 |**0x31C** |798   |**0x31E** |799   |**0x31F** | <|> x31e
36 Espace(s) surnuméraire(s) à supprimer. [[64:67]] => |1600 × 1200 |UXGA  |1.33 |796 |**0x31C** |798   |**0x31E** |799   |**0x31F** | <|>     => suggestions : [' ']
36 Mot inconnu : x31F [[71:75]] => |1600 × 1200 |UXGA  |1.33 |796 |**0x31C** |798   |**0x31E** |799   |**0x31F** | <|> x31f

37 Mot inconnu : QXGA [[14:18]] => |2048 × 1536 |QXGA  |1.33 | ? | ? | ? | ? | 850 ? | **0x352** ? | <|> qxga
37 Espace(s) surnuméraire(s) à supprimer. [[18:20]] => |2048 × 1536 |QXGA  |1.33 | ? | ? | ? | ? | 850 ? | **0x352** ? | <|>    => suggestions : [' ']
37 Mot inconnu : x352 [[55:59]] => |2048 × 1536 |QXGA  |1.33 | ? | ? | ? | ? | 850 ? | **0x352** ? | <|> x352

38 Mot inconnu : QUXGA [[14:19]] => |3200 × 2400 |QUXGA |1.33 | ? | ? | ? | ? | ? | ? | <|> quxga

40 Espace(s) surnuméraire(s) à supprimer. [[10:12]] => |640 × 400  | ? |1.60 | ? | ? | 829 | **0x33D** | 830 | **0x33E** | <|>    => suggestions : [' ']
40 Mot inconnu : x33D [[41:45]] => |640 × 400  | ? |1.60 | ? | ? | 829 | **0x33D** | 830 | **0x33E** | <|> x33d
40 Mot inconnu : x33E [[59:63]] => |640 × 400  | ? |1.60 | ? | ? | 829 | **0x33D** | 830 | **0x33E** | <|> x33e

41 Espace(s) surnuméraire(s) à supprimer. [[11:13]] => |1280 × 800  |WXGA  |1.60 | 867 | **0x363** | 868 | **0x364** | 869 | **0x365** | <|>    => suggestions : [' ']
41 Mot inconnu : WXGA [[14:18]] => |1280 × 800  |WXGA  |1.60 | 867 | **0x363** | 868 | **0x364** | 869 | **0x365** | <|> wxga
41 Espace(s) surnuméraire(s) à supprimer. [[18:20]] => |1280 × 800  |WXGA  |1.60 | 867 | **0x363** | 868 | **0x364** | 869 | **0x365** | <|>    => suggestions : [' ']
41 Mot inconnu : x363 [[37:41]] => |1280 × 800  |WXGA  |1.60 | 867 | **0x363** | 868 | **0x364** | 869 | **0x365** | <|> x363
41 Mot inconnu : x364 [[55:59]] => |1280 × 800  |WXGA  |1.60 | 867 | **0x363** | 868 | **0x364** | 869 | **0x365** | <|> x364
41 Mot inconnu : x365 [[73:77]] => |1280 × 800  |WXGA  |1.60 | 867 | **0x363** | 868 | **0x364** | 869 | **0x365** | <|> x365

42 Espace(s) surnuméraire(s) à supprimer. [[11:13]] => |1440 × 900  |WXGA+ |1.60 | 864 | **0x360** | 866 | **0x362** | 867 | **0x363** | <|>    => suggestions : [' ']
42 Mot inconnu : WXGA [[14:18]] => |1440 × 900  |WXGA+ |1.60 | 864 | **0x360** | 866 | **0x362** | 867 | **0x363** | <|> wxga
42 Mot inconnu : x360 [[37:41]] => |1440 × 900  |WXGA+ |1.60 | 864 | **0x360** | 866 | **0x362** | 867 | **0x363** | <|> x360
42 Mot inconnu : x362 [[55:59]] => |1440 × 900  |WXGA+ |1.60 | 864 | **0x360** | 866 | **0x362** | 867 | **0x363** | <|> x362
42 Mot inconnu : x363 [[73:77]] => |1440 × 900  |WXGA+ |1.60 | 864 | **0x360** | 866 | **0x362** | 867 | **0x363** | <|> x363

43 Mot inconnu : WSXGA [[14:19]] => |1680 × 1050 |WSXGA+|1.60 | 872 ? | **0x368** ? | ? | ? | 873 | **0x369** | <|> wsxga
43 Mot inconnu : x368 [[39:43]] => |1680 × 1050 |WSXGA+|1.60 | 872 ? | **0x368** ? | ? | ? | 873 | **0x369** | <|> x368
43 Mot inconnu : x369 [[67:71]] => |1680 × 1050 |WSXGA+|1.60 | 872 ? | **0x368** ? | ? | ? | 873 | **0x369** | <|> x369

44 Mot inconnu : WUXGA [[14:19]] => |1920 × 1200 |WUXGA |1.60 | 892 ? | **0x37c** ? | ? | ? | 893 ? | **0x37d** ? | <|> wuxga
44 Mot inconnu : x37c [[39:43]] => |1920 × 1200 |WUXGA |1.60 | 892 ? | **0x37c** ? | ? | ? | 893 ? | **0x37d** ? | <|> x37c
44 Mot inconnu : x37d [[69:73]] => |1920 × 1200 |WUXGA |1.60 | 892 ? | **0x37c** ? | ? | ? | 893 ? | **0x37d** ? | <|> x37d

46 Mot inconnu : SXGA [[14:18]] => |1280 × 1024 |SXGA  |1.25 |775  |**0x307** |794  |**0x31A** |795   |**0x31B** | <|> sxga
46 Espace(s) surnuméraire(s) à supprimer. [[18:20]] => |1280 × 1024 |SXGA  |1.25 |775  |**0x307** |794  |**0x31A** |795   |**0x31B** | <|>    => suggestions : [' ']
46 Espace(s) surnuméraire(s) à supprimer. [[30:32]] => |1280 × 1024 |SXGA  |1.25 |775  |**0x307** |794  |**0x31A** |795   |**0x31B** | <|>    => suggestions : [' ']
