
70 Mot inconnu : mp4 =>     -f mp4 mon_fichier_pour_xbox.mp4 | mp4
70 Mot inconnu : mon_fichier_pour_xbox =>     -f mp4 mon_fichier_pour_xbox.mp4 | mon_fichier_pour_xbox
70 Mot inconnu : mp4 =>     -f mp4 mon_fichier_pour_xbox.mp4 | mp4

71 Mot inconnu : MP4Box => MP4Box -add mon_fichier_pour_xbox.mp4 mon_fichier_pour_xbox_lisible.mp4 | mp4box
71 Il manque un espace à côté du tiret. => MP4Box -add mon_fichier_pour_xbox.mp4 mon_fichier_pour_xbox_lisible.mp4 |  - => suggestions : [' – ', ' — ']
71 Mot inconnu : add => MP4Box -add mon_fichier_pour_xbox.mp4 mon_fichier_pour_xbox_lisible.mp4 | add
71 Mot inconnu : mon_fichier_pour_xbox => MP4Box -add mon_fichier_pour_xbox.mp4 mon_fichier_pour_xbox_lisible.mp4 | mon_fichier_pour_xbox
71 Mot inconnu : mp4 => MP4Box -add mon_fichier_pour_xbox.mp4 mon_fichier_pour_xbox_lisible.mp4 | mp4
71 Mot inconnu : mon_fichier_pour_xbox_lisible => MP4Box -add mon_fichier_pour_xbox.mp4 mon_fichier_pour_xbox_lisible.mp4 | mon_fichier_pour_xbox_lisible
71 Mot inconnu : mp4 => MP4Box -add mon_fichier_pour_xbox.mp4 mon_fichier_pour_xbox_lisible.mp4 | mp4

76 Mot inconnu : FIXME => FIXME | fixme
