1 Mot inconnu : Skully [[7:13]] => ====== Skully ====== <|> skully
54 Pas de majuscule sur les mois. [[86:93]] => Alors j'ai commencé par une solution: Wubi. J'ai installé UBuntu 8.04 en Wubi vers mi Juillet 2008. <|> juillet => suggestions : ['juillet']

55 Mot inconnu : Vista [[218:223]] => J'ai ainsi pu me documenter un peu plus sur l'installation, et j'ai trouvé qu'il était possible d'installer Ubuntu sur un deuxième disque, et ajouter une entrée pour Ubuntu dans le gestionnaire de démarrage de Windows Vista. <|> vista

57 Pas de majuscule sur les mois. [[103:110]] => J'ai attendu et continué de me documenter, puis finalement, j'ai acheté le disque dur tant attendu, en Octobre 2008. <|> octobre => suggestions : ['octobre']

59 Typographie : points de suspension. Utilisez le caractère dédié. [[97:100]] => Je l'ai installé, puis me suis documenté une dernière fois avant de me lancer dans l'installation... <|> ... => suggestions : ['…']

66 Guillemets typographiques ouvrants. [[98:99]] => J'ai tout laissé par défaut (langue, clavier, emplacement géographique), et j'ai utilisé l'option "Assisté-Utiliser un Disque Entier" à l'installation. J'ai ainsi sélectionné '/dev/sdb". <|> " => suggestions : ['«\xa0', '“']
66 Guillemets typographiques fermants. [[132:133]] => J'ai tout laissé par défaut (langue, clavier, emplacement géographique), et j'ai utilisé l'option "Assisté-Utiliser un Disque Entier" à l'installation. J'ai ainsi sélectionné '/dev/sdb". <|> " => suggestions : ['\xa0»', '”']
68 Mot inconnu : GRUB [[61:65]] => Je n'ai changé qu'une seule option ensuite: j'ai installé le GRUB sur la partition Root d'Ubuntu. <|> grub
68 Mot inconnu : Root [[83:87]] => Je n'ai changé qu'une seule option ensuite: j'ai installé le GRUB sur la partition Root d'Ubuntu. <|> root

70 Mot inconnu : Vista [[50:55]] => J'ai ensuite ajouté une entrée dans l'amorceur de Vista pour UBuntu: tout marchait parfaitement, mais je n'aimais pas dépendre de Windows... <|> vista
70 Typographie : points de suspension. Utilisez le caractère dédié. [[137:140]] => J'ai ensuite ajouté une entrée dans l'amorceur de Vista pour UBuntu: tout marchait parfaitement, mais je n'aimais pas dépendre de Windows... <|> ... => suggestions : ['…']

74 Mot inconnu : GRUB [[14:18]] => ===== Premier GRUB sur MBR ===== <|> grub
74 Mot inconnu : MBR [[23:26]] => ===== Premier GRUB sur MBR ===== <|> mbr

76 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[85:86]] => Tout se passait bien jusqu'au moment où j'ai voulu installer d'autres distributions. A ce moment là, j'ai compris qu'il ne me fallait plus utiliser Windows pour démarrer un linux. <|> a => suggestions : ['À']
76 Il manque probablement un trait d’union. [[90:99]] => Tout se passait bien jusqu'au moment où j'ai voulu installer d'autres distributions. A ce moment là, j'ai compris qu'il ne me fallait plus utiliser Windows pour démarrer un linux. <|> moment là => suggestions : ['moment-là']

77 Mot inconnu : GRUB [[89:93]] => J'ai tout de suite décidé de rétablir le démarrage de Windows par défaut, et d'installer GRUB sur le MBR du deuxième disque. <|> grub
77 Mot inconnu : MBR [[101:104]] => J'ai tout de suite décidé de rétablir le démarrage de Windows par défaut, et d'installer GRUB sur le MBR du deuxième disque. <|> mbr

78 Espace(s) surnuméraire(s) à supprimer. [[31:33]] => Et cette fois-ci, j'ai installé  Ubuntu en utilisant la méthode manuelle: en effet, la méthode automatique ne m'avait pas configuré de /homee séparé... <|>    => suggestions : [' ']
78 Typographie : points de suspension. Utilisez le caractère dédié. [[148:151]] => Et cette fois-ci, j'ai installé  Ubuntu en utilisant la méthode manuelle: en effet, la méthode automatique ne m'avait pas configuré de /homee séparé... <|> ... => suggestions : ['…']
