1 Mot inconnu : Whoami => ===== Qui suis-je ? Whoami ?===== <|> whoami
3 Pas d’espace avant ce signe. =>  Je suis utilisateur de linux depuis 1998. J'ai commencé avec la mandrake ( 7.0 ?? ), puis la redhat, debian, et enfin Ubuntu dès sa sortie ( Warty ). \\ <|>  ) => suggestions : [')']

5 Mot inconnu : hardy => Je suis donc sous hardy 8.04. \\ <|> hardy

8 Mot inconnu : pentium => J'ai un pentium IV 3.5 Ghz, avec 1.5 Go de Ram... \\ <|> pentium
8 Mot inconnu : Ghz => J'ai un pentium IV 3.5 Ghz, avec 1.5 Go de Ram... \\ <|> ghz
8 Mot inconnu : Ram => J'ai un pentium IV 3.5 Ghz, avec 1.5 Go de Ram... \\ <|> ram
8 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai un pentium IV 3.5 Ghz, avec 1.5 Go de Ram... \\ <|> ... => suggestions : ['…']

9 Mot inconnu : Fluxbox => Je me suis installé Fluxbox en + de Gnome, que j'ai très vite maitrisé, grâce au tuto béton de Gapz - http://doc.ubuntu-fr.org/fluxbox \\ <|> fluxbox
9 Mot inconnu : Gapz => Je me suis installé Fluxbox en + de Gnome, que j'ai très vite maitrisé, grâce au tuto béton de Gapz - http://doc.ubuntu-fr.org/fluxbox \\ <|> gapz
9 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Je me suis installé Fluxbox en + de Gnome, que j'ai très vite maitrisé, grâce au tuto béton de Gapz - http://doc.ubuntu-fr.org/fluxbox \\ <|>  -  => suggestions : [' – ', ' — ', ' − ']

10 Mot inconnu : Fvwm => Et Fvwm aussi, que je trouve fantastique, mais dur à maitriser ... \\ <|> fvwm
10 Typographie : points de suspension. Utilisez le caractère dédié. => Et Fvwm aussi, que je trouve fantastique, mais dur à maitriser ... \\ <|> ... => suggestions : ['…']

17 Mot inconnu : CUB => Chef de service informatique dans une collectivité de la CUB, depuis le 15 février 2007. 4 Serveurs tournent sous linux ( Redhat, ubuntu server, debian ) ^_^ <|> cub
17 Mot inconnu : linux => Chef de service informatique dans une collectivité de la CUB, depuis le 15 février 2007. 4 Serveurs tournent sous linux ( Redhat, ubuntu server, debian ) ^_^ <|> linux
17 Pas d’espace après ce signe. => Chef de service informatique dans une collectivité de la CUB, depuis le 15 février 2007. 4 Serveurs tournent sous linux ( Redhat, ubuntu server, debian ) ^_^ <|> (  => suggestions : ['(']
17 Mot inconnu : Redhat => Chef de service informatique dans une collectivité de la CUB, depuis le 15 février 2007. 4 Serveurs tournent sous linux ( Redhat, ubuntu server, debian ) ^_^ <|> redhat
17 Mot inconnu : server => Chef de service informatique dans une collectivité de la CUB, depuis le 15 février 2007. 4 Serveurs tournent sous linux ( Redhat, ubuntu server, debian ) ^_^ <|> server
17 Mot inconnu : debian => Chef de service informatique dans une collectivité de la CUB, depuis le 15 février 2007. 4 Serveurs tournent sous linux ( Redhat, ubuntu server, debian ) ^_^ <|> debian
17 Pas d’espace avant ce signe. => Chef de service informatique dans une collectivité de la CUB, depuis le 15 février 2007. 4 Serveurs tournent sous linux ( Redhat, ubuntu server, debian ) ^_^ <|>  ) => suggestions : [')']

23 Mot inconnu : irc => Sur l'irc, réseaux Freenode : gillaume #ubuntu-fr <|> irc
23 Mot inconnu : Freenode => Sur l'irc, réseaux Freenode : gillaume #ubuntu-fr <|> freenode
23 Mot inconnu : gillaume => Sur l'irc, réseaux Freenode : gillaume #ubuntu-fr <|> gillaume
