1 Mot inconnu : Chikøumi [[7:15]] => ====== Chikøumi ====== <|> chikøumi
45 Mot inconnu : BX [[25:27]] => ==== NetBook : EeePC 1015BX ==== <|> bx

49 Mot inconnu : Ram [[8:11]] => === /!\ Ram soudée /!\ === <|> ram

51 Accord de nombre erroné : « modèle » devrait être au pluriel. [[13:19]] => Sur certains modèle la ram est entièrement soudée empêchant malheureusement son remplacement et bridant le pc à 1Go alors qu'il peut être upgrade à 2Go. <|> modèle => suggestions : modèles
51 Mot inconnu : ram [[23:26]] => Sur certains modèle la ram est entièrement soudée empêchant malheureusement son remplacement et bridant le pc à 1Go alors qu'il peut être upgrade à 2Go. <|> ram
61 Mot inconnu : Ecran [[6:11]] =>   * **Ecran :**  10,1 " <|> ecran
61 Guillemets fermants. [[21:23]] =>   * **Ecran :**  10,1 " <|>  " => suggestions :  »”
62 Signe de multiplication typographique. [[22:31]] =>   * **Dimensions :**  262 x 178 x 36,4 <|> 262 x 178 => suggestions : 262 × 178
63 Mot inconnu : Brazos [[25:31]] =>   * **Processeur :** AMD Brazos C50 <|> brazos
63 Mot inconnu : C50 [[32:35]] =>   * **Processeur :** AMD Brazos C50 <|> c50
64 Si “GHz” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[32:37]] =>   * **Vitesse du processeur :** 1 GHz <|> 1 ghz => suggestions : 1 GHz
65 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[32:36]] =>   * **Mémoire cache externe :** 1 Mo <|> 1 mo => suggestions : 1 Mo
67 Mot inconnu : DDR3 [[40:44]] =>   * **Type de mémoire RAM installée :** DDR3 <|> ddr3
69 Mot inconnu : SATA [[29:33]] =>   * **Type de disque dur :** SATA <|> sata
72 Mot inconnu : MMC [[44:47]] =>   * **Lecteur de cartes mémoire :** SD, MS, MMC <|> mmc
76 Mot inconnu : Mbps [[39:43]] =>   * **Carte réseau Ethernet :** 10/100 Mbps <|> mbps
78 Mot inconnu : RJ45 [[47:51]] =>   * **Connecteurs :**  1 USB 3.0, 1 USB 2.0, 1 RJ45, 1 Mini-VGA, 1 HDMI, entrée et sortie audio <|> rj45
78 Mot inconnu : Mini-VGA [[55:63]] =>   * **Connecteurs :**  1 USB 3.0, 1 USB 2.0, 1 RJ45, 1 Mini-VGA, 1 HDMI, entrée et sortie audio <|> mini-vga
80 Mot inconnu : Multi-touch [[41:52]] =>   * **Dispositif de pointage:** TouchPad Multi-touch <|> multi-touch
82 Si “mAh” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[52:60]] =>   * **Type de batterie :** Lithium-Ion / 6 cellules 5200 mAh <|> 5200 mah => suggestions : 5 200 mAh
84 Signe de multiplication typographique. [[29:39]] =>   * **Résolution maximum :** 1024 x 600 <|> 1024 x 600 => suggestions : 1024 × 600

98 Mot inconnu : Djing [[14:19]] => Informatique, Djing, Bricolage, Sport ... <|> djing
98 Typographie : points de suspension. Utilisez le caractère dédié. [[38:41]] => Informatique, Djing, Bricolage, Sport ... <|> ... => suggestions : …
