1 Mot inconnu : Mysteroïd => ====== Mysteroïd ====== | mysteroïd
27 Mot inconnu : Seka => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | seka
27 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | ... => suggestions : ['…']
27 Mot inconnu : archiveur => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | archiveur
27 Mot inconnu : QBasic => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | qbasic
27 Guillemets typographiques ouvrants. => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | " => suggestions : ['«\xa0', '“']
27 Mot inconnu : bilinear => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | bilinear
27 Mot inconnu : filtering => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | filtering
27 Guillemets typographiques fermants. => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | " => suggestions : ['\xa0»', '”']
27 Avec une unité de mesure, mettez un espace insécable. => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | 100% => suggestions : ['100\xa0%']
27 Mot inconnu : asm => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | asm
27 Mot inconnu : x86 => J'ai fait pas mal de développement dans différents langages plus ou moins évolués (Rien d'orienté objet... oui c'était aussi avant le déluge donc plutôt Assembleur, Pascal et au départ des BASIC divers...), Alors j'ai codé, toujours par goût personnel... des choses souvent inutiles mais tant qu'on se fait plaisir ! : "Démos", anti-virus et divers jeux sur Amiga (assembleur Motorola 68k Seka, AMOS...) archiveur de CD (QBasic), économiseur d'écran à base de fractals (Pascal) un tunnel 3D avec défilement en boucle d'une texture et "bilinear filtering" 100% (asm x86) et sans recours aux accélérateurs graphiques... bref, la liste détaillée serait encore plus longue et fastidieuse ! :p) | x86
