1 Mot inconnu : warhole => ====== warhole ====== | warhole
17 Mot inconnu : pentium => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. | pentium
17 Mot inconnu : MMX => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. | mmx
17 Mot inconnu : DStudio => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. | dstudio
17 Avant « etc. », il faut mettre une virgule. => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. |  etc. => suggestions : [', etc.']
17 Un seul point après « etc. » => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. | etc... => suggestions : ['etc.']
17 Conjugaison erronée. Avec le pronom “se”, le verbe ne peut être à la 1ʳᵉ ou 2ᵉ personne du singulier. => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. | puis => suggestions : ['peut']
17 Mot inconnu : XP => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. | xp
17 Typographie : points de suspension. Utilisez le caractère dédié. => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. | .... => suggestions : ['…']
17 Mot inconnu : commencais => Passionné d'informatique depuis l'âge de 16 ans (premier pentium 166 MMX), j'ai commencé à me spécialiser dans la 3D (3DStudio 4 etc...). Je continue mon chemin, windows 98 SE puis le fameux XP.... cependant, je commencais à me lasser de si peu de personnalisation et de support. | commencais

