1 Mot inconnu : Hoary => ====== Hoary Party Paris ====== <|> hoary
1 Mot inconnu : Party => ====== Hoary Party Paris ====== <|> party

3 Pas de majuscule sur les mois. => ===== 9 Avril 2005, première fête Ubuntu parisienne ===== <|> avril => suggestions : ['avril']
6 Élision de l’article devant un mot commençant par une voyelle. =>   * [[http://www.6zo.net/09042005/yann/|Les photos de yann et pokute]] <|> de  => suggestions : ['d’']
6 Mot inconnu : yann =>   * [[http://www.6zo.net/09042005/yann/|Les photos de yann et pokute]] <|> yann
6 Mot inconnu : pokute =>   * [[http://www.6zo.net/09042005/yann/|Les photos de yann et pokute]] <|> pokute
7 Mot inconnu : Hoary =>   * [[http://ubuntustartguide.free.fr/hoary_party/ | Autre emplacement pour les photos Hoary Party]] <|> hoary
7 Mot inconnu : Party =>   * [[http://ubuntustartguide.free.fr/hoary_party/ | Autre emplacement pour les photos Hoary Party]] <|> party
11 Mot inconnu : Ju =>   * vous avez pas fait de ronde comme sur le logo d'ubuntu ? [Ju] J'y ai pensé, mais il aurait fallu qu'on ait un point de vue du dessus pas facile à trouver du restau ou on etait... ;-) [LS.] ou alors il aurait fallu grimper dans l'arbre ... :) <|> ju
11 Mot inconnu : etait =>   * vous avez pas fait de ronde comme sur le logo d'ubuntu ? [Ju] J'y ai pensé, mais il aurait fallu qu'on ait un point de vue du dessus pas facile à trouver du restau ou on etait... ;-) [LS.] ou alors il aurait fallu grimper dans l'arbre ... :) <|> etait
11 Typographie : points de suspension. Utilisez le caractère dédié. =>   * vous avez pas fait de ronde comme sur le logo d'ubuntu ? [Ju] J'y ai pensé, mais il aurait fallu qu'on ait un point de vue du dessus pas facile à trouver du restau ou on etait... ;-) [LS.] ou alors il aurait fallu grimper dans l'arbre ... :) <|> ... => suggestions : ['…']
11 Mot inconnu : LS =>   * vous avez pas fait de ronde comme sur le logo d'ubuntu ? [Ju] J'y ai pensé, mais il aurait fallu qu'on ait un point de vue du dessus pas facile à trouver du restau ou on etait... ;-) [LS.] ou alors il aurait fallu grimper dans l'arbre ... :) <|> ls
11 Typographie : points de suspension. Utilisez le caractère dédié. =>   * vous avez pas fait de ronde comme sur le logo d'ubuntu ? [Ju] J'y ai pensé, mais il aurait fallu qu'on ait un point de vue du dessus pas facile à trouver du restau ou on etait... ;-) [LS.] ou alors il aurait fallu grimper dans l'arbre ... :) <|> ... => suggestions : ['…']
15 Mot inconnu : Itadaki =>   * Itadaki <|> itadaki
