
44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Changements de flux |    => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Changements d'informations sur les profils |    => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Forçage de publication de billets |    => suggestions : ['']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Suppressions de billets, de profils, de flux |    => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bannissement de billets individuels |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Configuration des options du PUF : statut des billets par défaut, format d'import par défaut, langue, service d'avatars,  |    => suggestions : ['']
49 Mot inconnu : PUF =>   * Configuration des options du PUF : statut des billets par défaut, format d'import par défaut, langue, service d'avatars,  | puf
49 Espace(s) en fin de ligne à supprimer. =>   * Configuration des options du PUF : statut des billets par défaut, format d'import par défaut, langue, service d'avatars,  |   => suggestions : ['']

53 Mot inconnu : FIXME => FIXME | fixme

55 Mot inconnu : FIXME => FIXME | fixme

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Formulaire de demande d'admission avec création d'un profil minimum (Nom/Prénom, adresse mail, adresse du blog, flux), avec notification à l'administrateur. Un Captcha est hautement souhaitable pour éviter les Spams sur le formulaire. Cette création préalable permettrait de réduire le temps d'intervention nécessaire lors de l'admission d'un nouvel arrivant. |    => suggestions : ['']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Affichage de la licence du billet si disponible dans le flux. |    => suggestions : ['']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion du flux par le contributeur (changement de flux ou désactivation), avec notification à l'administrateur. |    => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Historique des changements sur les flux : L'outil actuel d'administration ne propose actuellement pas d'historique des modifications réalisées sur les flux. Lors de problèmes de publication de billets, il est impossible de savoir si l'origine est humaine (mauvaise manipulation) ou s'il s'agit d'un défaut de l'outil. |    => suggestions : ['']
68 Il manque un espace. => //Contributeurs : [[utilisateurs:Poupoul2]].// | poupoul2 => suggestions : [' Poupoul2']
