5 HTTP 404 : http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Scratch_Logo.png/200px-Scratch_Logo.png
6 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : http://www.youtube.com/watch?v=drt06dKRybE&feature=related
22 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : https://scratch.mit.edu/projects/editor/?tip_bar=getStarted
35 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : http://scratch.mit.edu/download
42 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : http://scratux.github.io/
55 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : https://scratch.mit.edu/download
61 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : https://scratch.mit.edu/scratchr2/static/sa/Scratch-455.air
81 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : http://seaside.citilab.eu/
83 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : http://info.scratch.mit.edu/WeDo
92 HTTP <class 'aiohttp.client_exceptions.ClientConnectorError'> : https://scratch.mit.edu/
